MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-6.98,0,0,105.243529031053,0.00317278891393672,5.17050200968004E-06,0,89.9959680308365,0.0937477892069281,5.99185437091061E-11,0.000323956886404631,94.320932446979,-6362518.4342211
-6.94,0,0,105.243529031053,0.00314856187576405,1.78830929700748E-07,0,89.9959679775045,0.00539995221420327,5.98526080691914E-11,0.000321483611969597,94.3209323845804,-6362518.43422308
-6.88,0,0,105.243523855694,0.00315110365191879,1.56528334586359E-05,0,89.9959654816353,0.284377912517755,5.98184762018176E-11,0.000321739174182767,94.3209313061088,-6362518.43422463
-6.84,0,0,105.243525987491,0.0031606803123029,8.93575737360098E-07,0,89.9959640038183,0.0166631145079036,5.97821759225279E-11,0.000322720953363387,94.3209313629195,-6362518.43422548
-6.78,0,0,105.243529031053,0.00317264763429956,1.524633900745E-05,0,89.9959633564842,0.2756012072523,5.97340835957592E-11,0.000323939148643149,94.3209313629195,-6362518.43422513
-6.74,0,0,105.243528574705,0.0031707425032448,1.49776915011212E-06,0,89.9959626042659,0.0272976715509007,5.97514047179155E-11,0.000323748328696638,94.3209312073886,-6362518.43422823
-6.68,0,0,105.243525987491,0.00316240611547069,3.60147781734266E-06,0,89.9959622725291,0.0655664834821266,6.00935422348573E-11,0.000322896970260445,94.3209320465103,-6362518.43422526
-6.64,0,0,105.243524312042,0.00314611638130377,5.93169118926772E-06,0,89.9959638571681,0.108338656280202,6.01072107136509E-11,0.000321233342333471,94.3209318229929,-6362518.43422405
-6.58,0,0,105.243527357467,0.00316433118447129,7.24995717096928E-06,0,89.9959649092128,0.131552982976036,6.00154316871713E-11,0.000323092888834253,94.3209313023835,-6362518.43422628
-6.54,0,0,105.243527356535,0.00317780164540595,5.93536663653694E-06,0,89.9959607948034,0.107311465780407,5.99980366775339E-11,0.000324468572785008,94.3209315715358,-6362518.43422493
-6.48,0,0,105.243525530212,0.00314823139628449,8.28320155432782E-06,0,89.9959682438097,0.151012909822175,5.99581672137756E-11,0.000321448760928433,94.3209320176393,-6362518.43422504
-6.44,0,0,105.243523855694,0.00314927664441569,1.16378527460929E-06,0,89.9959689096497,0.0213426013717544,5.98945575118151E-11,0.000321556574135684,94.3209320055321,-6362518.43422316
-6.38,0,0,105.243526900187,0.00316706042501839,1.46079699605502E-05,0,89.99596790492,0.264046947169981,5.98139391632571E-11,0.000323368970384763,94.3209321778268,-6362518.43422303
-6.34,0,0,105.243527356535,0.0031572549155088,5.15879895409822E-06,0,89.9959688690543,0.0934439627194396,5.97487839841966E-11,0.000322370785511339,94.3209323547781,-6362518.43422258
-6.28,0,0,105.243525530212,0.00314702194940214,4.31442339672317E-06,0,89.9959679241733,0.0783720572947532,5.94382677472821E-11,0.000321326074868011,94.320931087248,-6362518.43422535
-6.24,0,0,105.243523855694,0.0031613995832631,1.02481409735001E-05,0,89.9959694157254,0.185489769160649,5.95058395572158E-11,0.000322792708630004,94.320931318216,-6362518.43422675
-6.18,0,0,105.243527357467,0.00316813236907017,9.38726246246651E-06,0,89.995967252712,0.169992137686873,5.97394215220208E-11,0.000323480439419654,94.3209314439446,-6362518.43423024
-6.14,0,0,105.243527356535,0.00316691754687837,1.5989820332597E-05,0,89.995965668004,0.289584534303703,5.98119445331098E-11,0.00032335369530756,94.3209313377738,-6362518.43422046
-6.08,0,0,105.243523855694,0.00316574979759243,1.2911531027856E-06,0,89.9959649224001,0.0234678231568482,6.01279165901117E-11,0.000323238556802607,94.3209320418537,-6362518.4342237
-6.04,0,0,105.243525987491,0.00315320351862579,4.26254789734757E-06,0,89.9959647413044,0.0777492180094154,6.0213267232907E-11,0.00032195725634665,94.3209320213646,-6362518.43422628
-5.98,0,0,105.243529031053,0.00316167301838389,5.24006110054239E-06,0,89.9959672260511,0.095240596812375,6.00930871559417E-11,0.000322821884878977,94.3209320483729,-6362518.43422545
-5.94,0,0,105.243529031053,0.00317062104236851,6.95748600891051E-08,0,89.9959622593504,0.0028753489200875,6.00294854332573E-11,0.000323735960137128,94.3209320604801,-6362518.4342261
-5.88,0,0,105.243524312042,0.00314202754110088,1.47655556435136E-06,0,89.9959650556303,0.0270695405386801,5.99289102375592E-11,0.000320816393468704,94.3209318267182,-6362518.43422228
-5.84,0,0,105.243524312042,0.00315151789311175,3.86122838435457E-06,0,89.9959628370847,0.0704393989630196,5.98106637252615E-11,0.000321785200526392,94.3209320185706,-6362518.43422739
-5.78,0,0,105.243529031053,0.00317296224471552,2.8445839616478E-06,0,89.9959636442457,0.0512692110945509,5.97549868204945E-11,0.000323974880643618,94.3209322458133,-6362518.43422239
-5.74,0,0,105.243526900187,0.00315166345520156,1.31652943652362E-06,0,89.9959634379257,0.0243729555897981,5.97755116481474E-11,0.000321800274264206,94.320932016708,-6362518.4342252
-5.68,0,0,105.243523855694,0.0031573307276838,1.36450682347525E-05,0,89.9959651754058,0.247401131783244,5.96205488754699E-11,0.000322375946666398,94.3209313005209,-6362518.43422171
-5.64,0,0,105.243525987491,0.00316649376072682,1.13151462575796E-06,0,89.9959637240677,0.0208770225749043,5.97221600190625E-11,0.000323314529623531,94.3209313917905,-6362518.43422529
-5.58,0,0,105.243526901118,0.00317147264710239,1.44421584809772E-05,0,89.9959624797824,0.261187034776972,5.98851613377982E-11,0.000323819556683702,94.320931349881,-6362518.43422678
-5.54,0,0,105.243529031053,0.00318816882704004,1.16773902664402E-05,0,89.9959657079349,0.210085189530453,5.99783061740457E-11,0.000325525492485212,94.3209321461618,-6362518.43423114
-5.48,0,0,105.243525987491,0.00315684486226462,8.97948489792167E-06,0,89.9959653219233,0.163214182320425,6.02851795532123E-11,0.000322328040510911,94.3209320278838,-6362518.43422958
-5.44,0,0,105.243523855694,0.00314079423090698,1.72185969684103E-06,0,89.9959657945735,0.0314580968256978,6.01937074072093E-11,0.00032069045391836,94.3209315687418,-6362518.434223
-5.38,0,0,105.243527357467,0.00317709645080393,2.86409089806269E-06,0,89.9959653020501,0.0513918329998097,6.00867447298904E-11,0.000324397004874299,94.3209315799177,-6362518.43422682
