MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,PITCH,HEADING,__PITCH,__YAW,__ROLL,__SRFPROGRADE_X,__SRFPROGRADE_Y,__SRFPROGRADE_Z,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
-4.94,0,0,106.016818688251,0.00254413952825421,5.95280338822767E-05,0,1.34562802382105,3.63591220842079E-11,51.0946083068848,0.000259697838941975,92.2700142394751,-6362518.44290842,89.9893883926225,142.212411812392,0.00838795304298401,0.00650187162682414,180.005401611328,-0.0230040289461613,-0.00427614618092775,0.999726235866547,-1,-8.94069671630859E-08,6.3776969909668E-06,-1.72853469848633E-06,1,2.98023223876953E-08,1\n
-4.84,0,0,106.016822205856,0.00256694229099216,4.63666267203126E-05,0,1.0338993190904,3.630508969575E-11,51.0946083068848,0.000262054471477313,92.2700145114213,-6362518.44395547,89.9893941325428,142.240522106118,0.00838891975581646,0.00649799965322018,180.005401611328,-0.0130049642175436,-0.0125355655327439,0.99983686208725,-1,-8.94069671630859E-08,6.31809234619141E-06,-1.72853469848633E-06,1,2.98023223876953E-08,1\n
-4.74,0,0,106.01682129316,0.00251854373616986,4.60619929118699E-05,0,1.0488794583689,3.6832861531954E-11,51.0946083068848,0.000257112490885447,92.2700156141073,-6362518.44373678,89.9893929664152,142.265820193167,0.00839295983314514,0.00649626879021525,180.005386352539,-0.0153403729200363,-0.00995865277945995,0.99983274936676,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,-8.94069671630859E-08,1.00000011920929,1.49011611938477E-08,1\n
-4.64,0,0,106.016824076883,0.00250441623693609,7.97296178870027E-05,0,1.82905279135586,3.63555926003299E-11,51.0946083068848,0.000255583400871728,92.2700156429783,-6362518.44209334,89.9893941325428,142.240522132318,0.00838887691497803,0.00650011422112584,180.00537109375,-0.0311839915812016,-0.0064086988568306,0.99949312210083,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,6.13927841186523E-06,1,9.98377799987793E-07,1\n
-4.54,0,0,106.016820232384,0.00256978769913839,5.85110059563186E-05,0,1.31408094483516,3.60067798015282E-11,51.0946083068848,0.000262319739590566,92.2700144657865,-6362518.44313029,89.9893842931032,142.280570582072,0.00840079598128796,0.0064975107088685,180.005416870117,-0.020701065659523,0.00948040001094341,0.999740779399872,-1,0,6.31809234619141E-06,8.76188278198242E-06,0.999999940395355,1.22189521789551E-06,1\n
-4.44,0,0,106.016824937426,0.00255498614958095,4.75504154760476E-05,0,1.06500365388961,3.6441193502449E-11,51.0946083068848,0.000260831267610229,92.2700145840645,-6362518.44395793,89.9893986654254,142.253270348762,0.00838512741029263,0.00649099051952362,180.005386352539,-0.0130431344732642,-0.0132757667452097,0.999826788902283,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,4.88758087158203E-06,1,6.40749931335449E-07,1\n
-4.34,0,0,106.016819878481,0.00253690220097281,5.86096776687435E-05,0,1.32608876083436,3.66129373434987E-11,51.0946083068848,0.000258960859696344,92.2700142133981,-6362518.44314559,89.9893970389014,142.17725267312,0.00838080141693354,0.00650545069947839,180.005386352539,-0.020825058221817,-0.010003374889493,0.999733090400696,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,-1.1146068572998E-05,0.999999940395355,-1.31875276565552E-06,1\n
-4.24,0,0,106.016823163256,0.00254673644252199,6.39605470318727E-05,0,1.44711451548335,3.67165505635334E-11,51.0946083068848,0.000259952094324944,92.2700151652098,-6362518.44273177,89.9894010363726,142.243348552408,0.00838587712496519,0.00649482291191816,180.005386352539,-0.0246458649635315,0.00482851825654507,0.999684572219849,-1,0,6.25848770141602E-06,-2.15470790863037E-05,1.00000011920929,-2.85357236862183E-06,1\n
-4.14,0,0,106.016821197234,0.00255457335833505,6.75992439923811E-05,0,1.5256273262856,3.66445158532277E-11,51.0946083068848,0.000260742963291705,92.2700144033879,-6362518.44275938,89.9893941325428,142.240522108578,0.00838933046907187,0.00649909116327763,180.005401611328,-0.0243109725415707,0.0104503501206636,0.999649822711945,-1,0,6.31809234619141E-06,9.80496406555176E-06,1,1.36345624923706E-06,1\n
-4.04,0,0,106.016824481077,0.00257872610447247,5.49955750383544E-05,0,1.22244019107986,3.65619499080827E-11,51.0946083068848,0.000263240534877696,92.2700147004798,-6362518.44348595,89.9893998699669,142.268662834128,0.00839133746922016,0.00649457424879074,180.005386352539,-0.0173174329102039,-0.0124470265582204,0.999772548675537,-1,-8.94069671630859E-08,6.31809234619141E-06,-8.73208045959473E-06,1.00000011920929,-1.13248825073242E-06,1\n
-3.94,0,0,106.016822205856,0.0025398746295574,5.50449811702078E-05,0,1.2443632678564,3.67782659274724E-11,51.0946083068848,0.000259272584798964,92.2700145738199,-6362518.44325472,89.9893895991236,142.227784779778,0.00839093513786793,0.00650257244706154,180.005386352539,-0.019768662750721,-0.00888190045952797,0.999765157699585,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,-2.17556953430176E-06,0.999999940395355,-1.26659870147705E-07,1\n
-3.84,0,0,106.016824533232,0.00254625037625551,5.45946638784436E-05,0,1.23088415670317,3.67939547070147E-11,51.0946083068848,0.000259924722968208,92.2700161859393,-6362518.44329302,89.9893923641586,142.258128639694,0.00838951021432877,0.00649434002116323,180.005401611328,-0.019357617944479,-0.0092196324840188,0.999770104885101,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,1.38282775878906E-05,1,1.95205211639404E-06,1\n
-3.74,0,0,106.016822430305,0.00254231980555304,7.00302362577747E-05,0,1.5877748771893,3.63253102523792E-11,51.0946083068848,0.000259484657703979,92.2700150655583,-6362518.44267323,89.9893890544877,142.281093860931,0.00840001925826073,0.00649762526154518,180.005386352539,-0.0252419132739306,0.0110279312357306,0.99962055683136,-1,0,6.31809234619141E-06,-1.75833702087402E-05,1.00000011920929,-2.25752592086792E-06,1\n
-3.64,0,0,106.016822739504,0.00253554412623096,4.93830682412347E-05,0,1.12040862483375,3.6016799073221E-11,51.0946083068848,0.000258842221001032,92.2700144667178,-6362518.44334478,89.9893998089372,142.207604631049,0.00837777368724346,0.00649711256846786,180.005401611328,-0.0189495235681534,-0.00449929479509592,0.999810338020325,-1,0,6.31809234619141E-06,3.01003456115723E-06,0.999999940395355,5.51342964172363E-07,1\n
-3.54,0,0,106.016820430756,0.00254402005251054,5.40644925840397E-05,0,1.22449305909671,3.63610558736222E-11,51.0946083068848,0.000259698098602712,92.2700146883726,-6362518.4430952,89.9893884139856,142.232742563719,0.00839171092957258,0.00650349399074912,180.005386352539,-0.0212423875927925,0.000635530799627304,0.999774158000946,-1,0,6.31809234619141E-06,-2.34246253967285E-05,1,-3.17394733428955E-06,1\n
-3.44,0,0,106.016825394705,0.00249765654234417,7.57011995202221E-05,0,1.7451237048217,3.66661427528145E-11,51.0946083068848,0.000254905661790872,92.2700145980343,-6362518.44228088,89.9893974799272,142.258229547248,0.00838636234402657,0.00649276515468955,180.005386352539,-0.0294651165604591,0.00710055604577065,0.999540567398071,-1,0,6.25848770141602E-06,1.98185443878174E-05,1,2.65985727310181E-06,1\n
-3.34,0,0,106.016821878031,0.0025366879542012,6.53307405743391E-05,0,1.47619375347157,3.64018938421999E-11,51.0946083068848,0.000258922207194701,92.2700144741684,-6362518.44313695,89.9893923444711,142.237790256994,0.00838800705969334,0.00649713259190321,180.005401611328,-0.0209081470966339,-0.0150376949459314,0.999668300151825,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,1.39772891998291E-05,1,1.91479921340942E-06,1\n
-3.24,0,0,106.016821112484,0.00253394920454903,5.41868261310704E-05,0,1.23455342440063,3.63390887992192E-11,51.0946083068848,0.000258669310710502,92.2700146958232,-6362518.44326196,89.989392947242,142.245480584162,0.00839032046496868,0.00650018453598022,180.005386352539,-0.0197464115917683,0.00820792745798826,0.999771356582642,-1,0,6.25848770141602E-06,-2.68220901489258E-06,0.99999988079071,-1.34110450744629E-07,1\n
-3.14,0,0,106.016819144599,0.00248951465496082,7.31239005505549E-05,0,1.6914352866836,3.66217155362014E-11,51.0946083068848,0.000254081816933649,92.2700155898929,-6362518.4423819,89.9894009936987,142.202638701058,0.00837850198149681,0.00649827346205711,180.005386352539,-0.0285873841494322,0.00674761552363634,0.999568521976471,-0.99999988079071,-2.98023223876953E-08,6.25848770141602E-06,2.90572643280029E-05,0.999999940395355,4.0009617805481E-06,1\n
-3.04,0,0,106.016822154634,0.00255017551403009,7.23444018848439E-05,0,1.62667575775775,3.61344629852891E-11,51.0946083068848,0.000260280467273333,92.2700145142153,-6362518.44279474,89.9893941520275,142.260863925952,0.00839119125157595,0.00649575283750892,180.005401611328,-0.0240197069942951,-0.0150934234261513,0.999597549438477,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,-1.12354755401611E-05,1,-1.36345624923706E-06,1\n
-2.94,0,0,106.016820784658,0.00255424096862271,4.66466369042745E-05,0,1.05611218069821,3.62794251694072E-11,51.0946083068848,0.000260756871512058,92.2700151437894,-6362518.44363322,89.9893884700383,142.293735284004,0.00840166956186295,0.00649749161675572,180.005401611328,-0.0160991791635752,0.00862167030572891,0.999833226203918,-1,0,6.31809234619141E-06,1.83284282684326E-05,1,2.59280204772949E-06,1\n
-2.84,1000.27996826172,1000.27996826172,106.016821930185,0.00251907611125535,6.02392089958259E-05,19.5772835550825,1.3746137103595,3.64865073822238E-11,51.0939102172852,0.000257136313734918,92.2701194919646,-6362518.44290745,89.9894043835303,142.261068496837,0.00838614627718925,0.00649025477468967,180.005386352539,-0.0232370402663946,-0.0056472048163414,0.999714016914368,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,1.69873237609863E-06,0.99999988079071,4.17232513427734E-07,1\n
-2.74,1000.27996826172,1000.27996826172,106.016820103861,0.00251736454102569,7.18008567181158E-05,19.5772835550825,1.64134478243205,3.59081663120635E-11,51.0939102172852,0.000256930529076271,92.2701186900958,-6362518.44235866,89.9893908241754,142.263496648961,0.0083961384370923,0.00649939058348536,180.005386352539,-0.0284871961921453,0.00140983611345291,0.999593138694763,-1,0,6.25848770141602E-06,5.57303428649902E-06,1,8.04662704467773E-07,1\n
-2.64,1000.27996826172,1000.27996826172,106.016822154634,0.00250061181152783,6.66414220515176E-05,19.5772835550825,1.5369037274805,3.62798928833885E-11,51.0939102172852,0.000255233883990513,92.2701177634299,-6362518.44293079,89.9893929842484,142.286159738121,0.00839742738753557,0.00649642664939165,180.005401611328,-0.0231844820082188,0.013141805306077,0.999644815921783,-1,-5.96046447753906E-08,6.19888305664063E-06,-1.9371509552002E-06,1,-2.75671482086182E-07,1\n
-2.54,1000.27996826172,1000.27996826172,106.016817094758,0.00256464895111919,4.42481204225504E-05,19.5772835550825,0.997293578124781,3.6790911320405E-11,51.0939102172852,0.000261824091353446,92.2701184339821,-6362518.44358664,89.9893998509875,142.2483100126,0.00838624127209187,0.00649615377187729,180.005386352539,-0.0164648201316595,0.0051552401855588,0.999851167201996,-1,0,6.31809234619141E-06,5.66244125366211E-07,1,2.01165676116943E-07,1\n
-2.44,1000.27996826172,1000.27996826172,106.016822887585,0.00254656691418032,6.84504126403699E-05,19.5772835550825,1.54811182618045,3.6927698907968E-11,51.0939102172852,0.00025992285918619,92.27011977043,-6362518.442536,89.9893890168424,142.240429811943,0.00839233212172985,0.00650138175114989,180.005386352539,-0.0264886524528265,0.00456796213984489,0.999638676643372,-1,0,6.25848770141602E-06,-2.68220901489258E-06,0.99999988079071,-1.26659870147705E-07,1\n
-2.34,1000.27996826172,1000.27996826172,106.016818688251,0.00251032722600169,6.35466768484864E-05,19.5772835550825,1.45550327007603,3.65556918669149E-11,51.0939102172852,0.000256234424341528,92.2701186332852,-6362518.44273954,89.9893959206068,142.243254846188,0.00838845316320658,0.00649677077308297,180.005401611328,-0.0249240286648273,-0.00442713219672441,0.999679565429688,-0.999999940395355,-5.96046447753906E-08,6.25848770141602E-06,-2.99215316772461E-05,0.999999940395355,-3.80724668502808E-06,1\n
