MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-6.92,0,0,102.744733179919,0.00315576224387346,4.35812593440045E-06,0,0.0831642308761754,5.86803599315669E-11,0.000322218256542328,91.9148459834978,-6362518.44665376
-6.72,0,0,102.744732509367,0.00315144822198149,4.84887748697155E-06,0,0.0916944933918588,5.8696149419471E-11,0.000321777698331971,91.9148459127173,-6362518.44687948
-6.52,0,0,102.744732528925,0.00315483903580337,4.44300740021021E-06,0,0.0850580951913475,5.86852440833249E-11,0.000322123980140532,91.914845992811,-6362518.44681941
-6.32,0,0,102.744732636958,0.00315624521911675,4.23676049950278E-06,0,0.0810678004105984,5.86979666554068E-11,0.000322267584806468,91.9148460095748,-6362518.44666226
-6.12,0,0,102.744732019491,0.00315395270465522,4.04548021059632E-06,0,0.0776737037511396,5.86850334905262E-11,0.000322033537145217,91.9148459518328,-6362518.44683324
-5.92,0,0,102.744732152671,0.00315512355637536,5.26057910134673E-06,0,0.0997406061775577,5.86934576462089E-11,0.000322152900366746,91.9148459844291,-6362518.44683551
-5.72,0,0,102.744732770137,0.00315630012668239,4.46062114728693E-06,0,0.0850789255600516,5.87047000037353E-11,0.000322273161941666,91.9148460123688,-6362518.44665275
-5.52,0,0,102.744732352905,0.00315110995461815,4.43654751904321E-06,0,0.0844503810421061,5.86969129834514E-11,0.000321743221661563,91.9148458940908,-6362518.44686215
-5.32,0,0,102.744733116589,0.00315452139315237,4.49011230150386E-06,0,0.0858880366759713,5.86853311214063E-11,0.000322091536531843,91.9148459685966,-6362518.44682412
-5.12,0,0,102.744732542895,0.00315135614483406,4.8946292753041E-06,0,0.0929153226576945,5.87216251560341E-11,0.000321768291541957,91.9148459332064,-6362518.44685621
-4.92,0,0,102.744732093997,0.00315164304892129,4.06558747524478E-06,0,0.0774497869267125,5.86977364604459E-11,0.000321797704259552,91.9148459052667,-6362518.44686955
-4.72,0,0,102.7447322933,0.00315564350885145,3.73057736769659E-06,0,0.0722807590648038,5.8676399452526E-11,0.000322206214832477,91.9148459760472,-6362518.44669781
-4.52,0,0,102.744732056744,0.00315429281657253,4.28277695585236E-06,0,0.082307082943957,5.8676783599231E-11,0.000322068235163897,91.9148459685966,-6362518.44680671
-4.32,0,0,102.744731950574,0.00315469069023247,4.65893849602654E-06,0,0.0893026786799131,5.86897915917839E-11,0.000322108801697141,91.9148459546268,-6362518.44678308
-4.12,0,0,102.744732259773,0.00315617488205174,4.24195106820355E-06,0,0.0812391607329715,5.87047241549253E-11,0.000322260405368979,91.9148460049182,-6362518.44666611
-3.92,0,0,102.74473165907,0.00315441874534814,4.2457313689903E-06,0,0.0815447124571937,5.8690031479554E-11,0.000322081096442162,91.9148459788412,-6362518.44681352
-3.72,0,0,102.744732346386,0.00315617380639444,4.38955994204851E-06,0,0.0839026427895659,5.86906676557046E-11,0.000322260266443664,91.9148460058495,-6362518.44665983
-3.52,0,0,102.744732002728,0.00315136519534634,3.61144918377127E-06,0,0.0687606158163848,5.87041878425942E-11,0.000321769395100091,91.9148458922282,-6362518.44688104
-3.32,0,0,102.744732780382,0.00315536141251944,3.69960032816702E-06,0,0.0720445083608255,5.86833610353264E-11,0.000322177414204816,91.9148459602147,-6362518.4467634
-3.12,0,0,102.744731799699,0.00315491041769851,4.46767472915955E-06,0,0.0860264865304264,5.87085872540753E-11,0.000322131262578296,91.9148459518328,-6362518.44673813
-2.92,0,0,102.744732677005,0.0031543700648597,4.14772091129952E-06,0,0.0797117889974897,5.87086856361984E-11,0.000322076136512806,91.9148459965363,-6362518.44681909
-2.72,435.512725830078,435.512725830078,102.74473328609,0.00314936309292613,6.18400044774114E-06,16.2706901740063,0.111269100641999,5.88441707493714E-11,0.000321564558930731,91.9148467620835,-6362518.44706556
-2.52,435.512725830078,435.512725830078,102.744733418338,0.00316724738605988,4.8192005017873E-06,16.2706901740063,0.0838032624142828,5.87433342838378E-11,0.000323390878293139,91.9148478107527,-6362518.44674067
-2.32,435.512725830078,435.512725830078,102.744736389257,0.00316889999844216,1.13495679413948E-05,16.2706901740063,0.208359176779942,5.90062405915081E-11,0.000323557916885875,91.9148501195014,-6362518.44701605
-2.12,435.512725830078,435.512725830078,102.744738533162,0.00316717906210237,1.50487098023197E-05,16.2706901740063,0.268353332644447,5.89794880023081E-11,0.000323380624195124,91.9148528371006,-6362518.44667886
-1.92,435.512725830078,435.512725830078,102.744746346027,0.00318380073673787,5.77426439467516E-06,16.2706901740063,0.108800963788997,5.93282891132882E-11,0.000325080893162522,91.9148586662486,-6362518.44670937
-1.72,435.512725830078,435.512725830078,102.744753724895,0.0031990049442777,3.23672483763806E-06,16.2706901740063,0.0628467394989613,5.95667547563554E-11,0.000326633683926048,91.9148653605953,-6362518.44676291
-1.52,435.512725830078,435.512725830078,102.744764072821,0.00320319752799798,5.01313381280919E-06,16.2706901740063,0.0848044302449707,6.01325090077034E-11,0.000327061533425876,91.914876062423,-6362518.44688111
-1.32,435.512725830078,435.512725830078,102.744779225439,0.00321657538021973,5.08901236954535E-06,16.2706901740063,0.0858417161886198,6.0848693121505E-11,0.000328427463500702,91.9148922292516,-6362518.44686753
-1.12,435.512725830078,435.512725830078,102.744806753471,0.00328111478721107,1.00505583298355E-05,16.2706901740063,0.179657789706821,6.22850393162092E-11,0.000335016093004015,91.9149185214192,-6362518.44646016
