MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,__PITCH,__YAW,__ROLL,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
-2.62,819.873901367188,819.873901367188,108.493221013807,0.00266204857765345,7.18859349468182E-05,16.0527586542229,1.54776506285223,3.92869018774938E-11,51.0737075805664,0.000271709133471632,94.7914108382538,-6362518.43224048,0.00151354970876127,359.993408203125,180.001113891602,-1,1.78813934326172E-07,6.43730163574219E-06,2.58982181549072E-05,1.00000011920929,-6.63101673126221E-07,1
-2.52,819.873901367188,819.873901367188,108.493219816126,0.0026693719636049,5.63805445814468E-05,16.0527586542229,1.20622386765977,3.93456777982369E-11,51.0737075805664,0.000272495209515,94.7914109835401,-6362518.43097091,0.00150989869143814,359.993408203125,180.001113891602,-1,1.78813934326172E-07,6.43730163574219E-06,-3.93390655517578E-06,1.00000023841858,-1.41561031341553E-07,1
-2.42,819.873901367188,819.873901367188,108.4932214031,0.002661788439898,5.828155822194E-05,16.0527586542229,1.25229756835812,4.00524590450193E-11,51.0737075805664,0.000271716543124967,94.7914114138111,-6362518.43142704,0.00151106459088624,359.993408203125,180.001129150391,-1,1.78813934326172E-07,6.43730163574219E-06,-3.0219554901123E-05,1.00000011920929,5.21540641784668E-07,1
-2.32,819.873901367188,819.873901367188,108.493219531141,0.00264503304722021,6.51346180587529E-05,16.0527586542229,1.4061123302214,3.99684211852613E-11,51.0737075805664,0.00026998898954389,94.7914107181132,-6362518.4304069,0.00150194729212672,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.3776969909668E-06,7.12871551513672E-05,1.00000011920929,-1.70618295669556E-06,1
-2.22,819.873901367188,819.873901367188,108.493220077828,0.00266400149884181,5.12323309012005E-05,16.0527586542229,1.09933626816817,4.00004864200556E-11,51.0737075805664,0.000271957358791042,94.7914109155536,-6362518.43151183,0.00151475798338652,359.993408203125,180.001113891602,-1,1.78813934326172E-07,6.43730163574219E-06,6.43730163574219E-06,0.999999940395355,-5.96046447753906E-08,1
-2.12,819.873901367188,819.873901367188,108.493217099458,0.00265120046538005,5.88361313560228E-05,16.0527586542229,1.26867388379265,4.01007461063301E-11,51.0737075805664,0.000270633946570342,94.7914105402306,-6362518.43121744,0.00151932239532471,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.3776969909668E-06,-3.41236591339111E-05,1.00000011920929,7.22706317901611E-07,1
-2.02,819.873901367188,819.873901367188,108.493221471086,0.00267166445163046,5.34213146639662E-05,16.0527586542229,1.14511739902294,4.01003610167214E-11,51.0737075805664,0.000272735548719538,94.7914110980928,-6362518.4320651,0.00149821140803397,359.993408203125,180.001113891602,-1,1.78813934326172E-07,6.43730163574219E-06,-3.07559967041016E-05,1.00000011920929,6.25848770141602E-07,1
-1.92,819.873901367188,819.873901367188,108.493217876181,0.00264477705250217,5.23718055246132E-05,16.0527586542229,1.12998367262469,4.01516633396946E-11,51.0737075805664,0.000269991800678326,94.7914109723642,-6362518.43093826,0.00150822207797319,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.3776969909668E-06,-2.80141830444336E-05,1,5.96046447753906E-07,1
-1.82,819.873901367188,819.873901367188,108.493217771873,0.00265229691720914,6.99595554384006E-05,16.0527586542229,1.50836660464653,4.00943979103755E-11,51.0737075805664,0.000270718342221699,94.7914110934362,-6362518.43087454,0.00151421909686178,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.3776969909668E-06,6.90817832946777E-05,1.00000011920929,-1.49756669998169E-06,1
-1.72,819.873901367188,819.873901367188,108.493223342113,0.00268424313685995,5.71135691180844E-05,16.0527586542229,1.21737986408402,4.00357031418325E-11,51.0737075805664,0.000274012388445044,94.7914118450135,-6362518.43161859,0.00151671550702304,359.993408203125,180.001113891602,-1,1.78813934326172E-07,6.43730163574219E-06,2.32458114624023E-06,0.999999940395355,9.68575477600098E-08,1
-1.62,819.873901367188,819.873901367188,108.493221560493,0.00260506077598585,7.00153898412349E-05,16.0527586542229,1.53992093132429,3.99754347779196E-11,51.0737075805664,0.000265893436335318,94.7914124578238,-6362518.43202657,0.00150483218021691,359.993408203125,180.001129150391,-1,1.49011611938477E-07,6.31809234619141E-06,-7.2181224822998E-05,1.00000011920929,1.48266553878784E-06,1
-1.52,819.873901367188,819.873901367188,108.493218595162,0.00264383856734062,8.27610709620102E-05,16.0527586542229,1.79342777737607,3.91531004216108E-11,51.0737075805664,0.000269816636432552,94.7914109509438,-6362518.43177952,0.00150796119123697,359.993408203125,180.001129150391,-1,1.78813934326172E-07,6.3776969909668E-06,4.77135181427002E-05,1.00000011920929,-9.83476638793945E-07,1
-1.42,819.873901367188,819.873901367188,108.493221380748,0.00264938873212685,6.55870363771268E-05,16.0527586542229,1.41461288106854,3.91670418916322E-11,51.0737075805664,0.000270432727120351,94.7914110925049,-6362518.43071385,0.00151131418533623,359.993408203125,180.001113891602,-1,8.94069671630859E-08,6.3776969909668E-06,-2.35438346862793E-06,0.99999988079071,1.04308128356934E-07,1
-1.32,819.873901367188,819.873901367188,108.493222599849,0.00266422170109325,3.8032579886999E-05,16.0527586542229,0.814095172216513,4.00550549443032E-11,51.0737075805664,0.000272002428800988,94.7914114156738,-6362518.43158428,0.00151106459088624,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.3776969909668E-06,-1.91330909729004E-05,1.00000011920929,3.35276126861572E-07,1
-1.22,819.873901367188,819.873901367188,108.49322221335,0.00269071361221239,5.29422964546598E-05,16.0527586542229,1.1273487215423,4.00704518729715E-11,51.0737075805664,0.000274681913197128,94.7914112918079,-6362518.43223679,0.00151414528954774,359.993408203125,180.001113891602,-1,1.78813934326172E-07,6.43730163574219E-06,-0.000120252370834351,1,3.16649675369263E-06,1
-1.12,819.873901367188,819.873901367188,108.493217487819,0.0026268988902734,6.62619584354701E-05,16.0527586542229,1.4404602337484,4.0079454567373E-11,51.0737075805664,0.000268133958570616,94.7914105309173,-6362518.43036851,0.00150563509669155,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.3776969909668E-06,0.000208228826522827,1,-4.73856925964355E-06,1
-1.02,819.873901367188,819.873901367188,108.493218970485,0.00262588908489658,5.65268762196041E-05,16.0527586542229,1.23167538455059,4.02495873660996E-11,51.0737075805664,0.000268054072648738,94.7914121188223,-6362518.43163443,0.00151074712630361,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.31809234619141E-06,-6.21378421783447E-05,1.00000011920929,1.18464231491089E-06,1
-0.92,819.873901367188,819.873901367188,108.493219074793,0.00262917097732145,6.17796354478789E-05,16.0527586542229,1.34532377818396,3.96114633215682E-11,51.0737075805664,0.000268377174734269,94.7914109714329,-6362518.43176772,0.00151926861144602,359.993408203125,180.001129150391,-1,5.96046447753906E-08,6.31809234619141E-06,-0.000151991844177246,1.00000011920929,3.49432229995728E-06,1
-0.82,819.873901367188,819.873901367188,108.493221367709,0.00262457602019581,4.86001427646168E-05,16.0527586542229,1.05965570036289,3.95547241486445E-11,51.0737075805664,0.000267936177579031,94.7914128191769,-6362518.4319109,0.00150958402082324,359.993408203125,180.001113891602,-1,8.94069671630859E-08,6.31809234619141E-06,-0.000142365694046021,1,3.53902578353882E-06,1
-0.72,819.873901367188,819.873901367188,108.493222143501,0.00266789417235073,6.89469223600534E-05,16.0527586542229,1.47917514093597,3.95858432447757E-11,51.0737075805664,0.000272314142762298,94.7914115991443,-6362518.43142808,0.0015184119110927,359.993408203125,180.001129150391,-1,1.78813934326172E-07,6.43730163574219E-06,-2.16662883758545E-05,1.00000011920929,5.0663948059082E-07,1
-0.62,819.873901367188,819.873901367188,108.493221013807,0.00265380814646116,7.56404795770946E-05,16.0527586542229,1.63004506336878,3.94398941377982E-11,51.0737075805664,0.000270856785618889,94.7914108680561,-6362518.43065766,0.00151589571032673,359.993408203125,180.001129150391,-1,1.78813934326172E-07,6.43730163574219E-06,0.000104278326034546,1.00000011920929,-2.67475843429565E-06,1
-0.52,819.873901367188,819.873901367188,108.49321914278,0.0026554545817155,5.34966154220246E-05,16.0527586542229,1.15017171865281,3.9921152419683E-11,51.0737075805664,0.000271079951176034,94.7914106734097,-6362518.4310212,0.00150563509669155,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.3776969909668E-06,-3.68952751159668E-05,1.00000011920929,7.0035457611084E-07,1
-0.42,819.873901367188,819.873901367188,108.493223993108,0.00266147651039711,4.53399625170853E-05,16.0527586542229,0.974293513644775,4.02424285380583E-11,51.0737075805664,0.000271710410629566,94.7914116103202,-6362518.4318495,0.00152042030822486,359.993408203125,180.001113891602,-1,1.78813934326172E-07,6.43730163574219E-06,3.91006469726563E-05,1,-9.23871994018555E-07,1
-0.32,819.873901367188,819.873901367188,108.493220363744,0.00261411570691155,4.96476132417839E-05,16.0527586542229,1.08570195134734,4.03292494788275E-11,51.0737075805664,0.000266865933667759,94.7914124336094,-6362518.43157191,0.00150794419459999,359.993408203125,180.001129150391,-1,5.96046447753906E-08,6.25848770141602E-06,-7.33733177185059E-05,1,1.39325857162476E-06,1
-0.22,819.873901367188,819.873901367188,108.493221208453,0.00267715205479879,7.28836441983569E-05,16.0527586542229,1.55886580284834,3.96170455908609E-11,51.0737075805664,0.000273249079441484,94.7914112126455,-6362518.43157448,0.00151328870560974,359.993408203125,180.001113891602,-1,1.78813934326172E-07,6.43730163574219E-06,-0.000124454498291016,1,3.27825546264648E-06,1
-0.12,819.873901367188,819.873901367188,108.493222760037,0.00261642104348905,5.86888560939688E-05,16.0527586542229,1.28354148011788,3.95847731334453E-11,51.0737075805664,0.000267082247319195,94.7914128173143,-6362518.43160551,0.00151270150672644,359.993408203125,180.001113891602,-1,5.96046447753906E-08,6.25848770141602E-06,3.09944152832031E-06,1.00000011920929,-1.19209289550781E-07,1
-0.02,819.873901367188,819.873901367188,108.493222599849,0.00264939936209353,7.62121544033927E-05,16.0530128422595,1.647759152571,3.94490642053948E-11,51.0728988647461,0.000270404767093169,94.7914241971448,-6362518.43175592,0.00152066431473941,359.993408203125,180.001113891602,-1,1.19209289550781E-07,6.3776969909668E-06,2.05934047698975E-05,1.00000011920929,-5.66244125366211E-07,1
0.08,819.873901367188,819.873901367188,108.493224255741,0.00269890629842632,5.96952554826465E-05,16.0542383333861,1.26486884594773,3.92212212623413E-11,51.0690002441406,0.000275504198498311,94.7914857352152,-6362518.43133468,0.00150958402082324,359.993408203125,180.001113891602,-1,1.78813934326172E-07,6.43730163574219E-06,-0.000142365694046021,1,3.53902578353882E-06,1
0.18,819.873901367188,819.873901367188,108.493220820092,0.00263418295568934,5.56150136000406E-05,16.0562484479771,1.20938676804453,4.00022598243595E-11,51.0626068115234,0.000268903087089711,94.7915882216766,-6362518.43210805,0.0015198813052848,359.993408203125,180.001129150391,-1,8.94069671630859E-08,6.31809234619141E-06,-0.000159621238708496,1,3.65078449249268E-06,1
0.28,819.874267578125,819.874267578125,108.51895115152,0.429138802133487,0.00106664422531596,16.4190538993866,0.138918654429491,4.34420188760938E-08,49.9343185424805,0.0438170517572871,95.0286665800959,-6362518.40558009,0.000269810727331787,359.994262695313,180.015975952148,-0.999999523162842,-2.17556953430176E-06,0.00105202198028564,2.71201133728027E-06,1.00000023841858,-1.04606151580811E-05,1
0.38,819.875549316406,819.875549316406,108.591026096605,0.924925882843494,0.00226729084447877,16.4289808977814,0.137041537920774,8.90881711324324E-07,49.904224395752,0.0944392116576864,95.1356216398999,-6362518.38606038,0.00160604796838015,-0.00425898004323244,180.004608154297,-0.999997496604919,-4.88758087158203E-06,0.00226762890815735,7.27176666259766E-06,1.00000023841858,-4.52697277069092E-05,1
0.48,819.878051757813,819.878051757813,108.716523140669,1.4816532398715,0.0036646582806035,16.4393479733603,0.137853048001268,4.39988404504282E-06,49.8729057312012,0.151283650894129,95.3301549805328,-6362518.3746033,0.00322907441295683,-0.00235107191838324,180.031753540039,-0.999993324279785,-8.34465026855469E-06,0.00363263487815857,-1.17719173431396E-05,1,8.13603401184082E-06,1
0.58,819.881652832031,819.881652832031,108.900276611559,2.07920270492453,0.00523957605943329,16.4500170334594,0.139762619918692,1.15634896660826E-05,49.8407783508301,0.212296208726229,95.6231914507225,-6362518.36842445,0.00476806843653321,-0.000190181715879589,180.080535888672,-0.999987125396729,-1.23679637908936E-05,0.00509747862815857,-1.28448009490967E-05,1,7.74860382080078E-07,1
0.68,819.886657714844,819.886657714844,109.145478958264,2.70341069663827,0.0068708213143738,16.4609020164892,0.140133082031693,2.31054106081433E-05,49.8081245422363,0.27603074565377,96.0214627962559,-6362518.36695112,0.00612616213038564,0.00212291372008622,180.013595581055,-0.999978184700012,-1.64508819580078E-05,0.00662773847579956,-1.75535678863525E-05,1.00000011920929,5.30481338500977E-06,1
0.78,819.893005371094,819.893005371094,109.454178583808,3.34453310351028,0.00854844978586829,16.4719355598173,0.140109022280892,3.94509006507715E-05,49.775146484375,0.341492345364031,96.5287861088291,-6362518.37034707,0.00724581349641085,0.0044807312078774,180.05549621582,-0.999966442584991,-2.06828117370605E-05,0.00819960236549377,-2.06530094146729E-05,1.00000011920929,-3.87430191040039E-07,1
0.88,819.900634765625,819.900634765625,109.827660074458,3.9961481756445,0.0102526927748879,16.4830714405898,0.139886156623741,6.0819380240525E-05,49.7419815063477,0.408025324759251,97.1471418179572,-6362518.37737204,0.00813433900475502,0.00684902165085077,180.034515380859,-0.999952077865601,-2.50041484832764E-05,0.00979697704315186,-2.64942646026611E-05,1.00000011920929,4.08291816711426E-06,1
0.98,819.909729003906,819.909729003906,110.266712895595,4.65408286254906,0.0119958112364386,16.4942870912389,0.139847795032797,8.72990068354973E-05,49.7087097167969,0.475203596176016,97.8774266922846,-6362518.38884575,0.00879836827516556,0.00914712436497211,180.039642333984,-0.99993497133255,-2.93850898742676E-05,0.0114098191261292,-2.89976596832275E-05,1,-8.34465026855469E-07,1
1.08,819.920227050781,819.920227050781,110.771888103336,5.31854086460935,0.0138690088159747,16.5055827832232,0.14102303644921,0.000118915260439465,49.6753273010254,0.543047940568499,98.7215731507167,-6362518.40549544,0.00913147535175085,0.0112533643841743,180.105056762695,-0.99991512298584,-3.4034252166748E-05,0.0130385458469391,-3.38554382324219E-05,1.00000023841858,-2.98023223876953E-07,1
