TIME,THRUST,ALTITUDE,SPEED,GROUNDSPEED,TWR,AoA,APOAPSIS,PERIAPSIS
0.12,0,92.7253481624648,0.00142838535742624,4.66451508654587E-05,0,8.21415086180931,90.737757075578,-6362518.45377432
0.32,0,92.7253481624648,0.00145722105664173,4.7946740220344E-05,0,8.51335950897019,90.7377576902509,-6362518.45438725
0.52,0,92.7253481624648,0.00145049193854592,4.50804838534396E-05,0,8.23164809514447,90.7377572385594,-6362518.45342595
0.72,0,92.7253489522263,0.00146314158998817,3.38483317604767E-05,0,9.11524017888526,90.7377577815205,-6362518.45425774
0.92,0,92.7253481624648,0.00145042933668196,1.98002611815593E-05,0,9.32577620459467,90.7377571938559,-6362518.45365646
1.12,0,92.7253489522263,0.00145309683293656,3.02726841108624E-05,0,9.1151766129211,90.7377577377483,-6362518.45406317
1.32,0,92.7253479352221,0.00144976885531425,5.15352619414325E-05,0,7.97846096172204,90.7377571603283,-6362518.45346296
1.52,0,92.7253493219614,0.00145544604800407,2.45823753748971E-05,0,9.21539801843979,90.7377577228472,-6362518.45382953
1.72,0,92.7253479352221,0.00147228073854367,4.06341360212469E-05,0,8.46202640242506,90.737757794559,-6362518.45360579
1.92,0,92.7253479352221,0.00146163427440985,3.82880034102035E-05,0,8.92655360395628,90.7377571985126,-6362518.45430806
2.12,0,92.7253481624648,0.00145617082426451,5.68610315382474E-05,0,7.81046561378913,90.7377572637051,-6362518.45367475
2.32,0,92.7253489522263,0.00146422694408031,3.29686115597576E-05,0,9.03422957928358,90.7377578979358,-6362518.45412036
2.52,0,92.7253481624648,0.00146090362002058,4.00765921217102E-05,0,8.55165676583376,90.737757878378,-6362518.45385077
2.72,0,92.7253479352221,0.00149371177375119,4.73895974776772E-05,0,8.49604348511562,90.7377571351826,-6362518.4542758
2.92,0,92.7253481624648,0.00149744450723993,4.26974482430515E-05,0,8.65629887581521,90.7377572637051,-6362518.45419511
3.12,0,92.7253489522263,0.00145402942801783,3.02314372628339E-05,0,9.15256370633399,90.7377577386796,-6362518.45410206
