MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,__PITCH,__YAW,__ROLL,__SRFPROGRADE_X,__SRFPROGRADE_Y,__SRFPROGRADE_Z,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
-4.96,0,0,110.046250330284,0.00261754741909683,5.83927254412259E-05,0,1.27662421031233,3.81377607821507E-11,51.0744094848633,0.000267198095571075,96.3443842679262,-6362518.42387964,-0.00382452458143234,0.00955393258482218,180.011901855469,-0.00478055467829108,0.0217899940907955,0.999751150608063,-1.00000011920929,1.19209289550781E-07,6.25848770141602E-06,2.47359275817871E-06,1,-9.29832458496094E-06,1
-4.86,0,0,110.046247839928,0.00259631370935372,6.97306021240579E-05,0,1.53681746714767,3.839596752927E-11,51.0744094848633,0.000265000910189883,96.3443850856274,-6362518.42392858,-0.00382951577194035,0.00955937895923853,180.011901855469,-0.00436664093285799,0.0265001878142357,0.999639272689819,-1,1.78813934326172E-07,6.31809234619141E-06,4.41074371337891E-06,0.999999940395355,-1.7315149307251E-05,1
-4.76,0,0,110.046248016879,0.00261760616523426,7.47231047119101E-05,0,1.63211370308995,3.85877455875196E-11,51.0744094848633,0.000267161684405437,96.3443843359128,-6362518.42436611,-0.00382640468887985,0.00954966899007559,180.011901855469,-0.000317774596624076,0.0285446234047413,0.999592483043671,-1,1.49011611938477E-07,6.31809234619141E-06,3.30805778503418E-06,1.00000011920929,-1.26361846923828E-05,1
-4.66,0,0,110.046248297207,0.00262962658839162,7.59099025093269E-05,0,1.65254084461536,3.85791468064116E-11,51.0744094848633,0.000268386050379377,96.3443842930719,-6362518.42372268,-0.0038268119096756,0.00955889280885458,180.011901855469,-0.0061918175779283,0.0281953699886799,0.99958324432373,-1,1.49011611938477E-07,6.31809234619141E-06,2.92062759399414E-06,1,-1.14142894744873E-05,1
-4.56,0,0,110.046249210835,0.00259592773018364,6.45696545302563E-05,0,1.42314568783633,3.89112675180385E-11,51.0744094848633,0.000264975119080191,96.3443855429068,-6362518.42395369,-0.00382163468748331,0.00955139379948378,180.011901855469,-0.00413537910208106,0.0245273001492023,0.999690592288971,-1.00000011920929,1.19209289550781E-07,6.25848770141602E-06,9.5367431640625E-07,1.00000023841858,-3.39746475219727E-06,1
-4.46,0,0,110.046245525591,0.00259862930002991,6.2762474675383E-05,0,1.38181439275985,3.84943555619005E-11,51.0744094848633,0.000265255571093803,96.3443841394037,-6362518.42396175,-0.00383234978653491,0.00955477077513933,180.011901855469,-0.00405655987560749,0.0238090381026268,0.999708294868469,-1.00000011920929,1.19209289550781E-07,6.25848770141602E-06,1.49011611938477E-06,1,-5.87105751037598E-06,1
-4.36,0,0,110.046248753555,0.00261614307705861,6.3509091810507E-05,0,1.38720032169014,3.83039957988569E-11,51.0744094848633,0.000267042488417246,96.3443842390552,-6362518.42441175,-0.00383332232013345,0.00954936444759369,180.011901855469,0.000100842531537637,0.0242756437510252,0.99970531463623,-1,1.49011611938477E-07,6.31809234619141E-06,2.98023223876953E-08,1,8.94069671630859E-08,1
-4.26,0,0,110.046247839928,0.00260111937882853,7.61071095409316E-05,0,1.67503453780576,3.87479234868385E-11,51.0744094848633,0.000265473510808079,96.3443849161267,-6362518.42371707,-0.00382641376927495,0.00955830421298742,180.011917114258,-0.00631135050207376,0.0285705588757992,0.999571859836578,-1.00000011920929,1.19209289550781E-07,6.25848770141602E-06,-9.5367431640625E-07,1.00000011920929,4.4405460357666E-06,1
-4.16,0,0,110.04625152424,0.00262393816471581,6.93010155433212E-05,0,1.51215523981677,3.86089644429497E-11,51.0744094848633,0.000267823668650635,96.34438503813,-6362518.42367433,-0.00382592994719744,0.00955423153936863,180.01188659668,-0.00664765574038029,0.0255607645958662,0.999651193618774,-1,1.49011611938477E-07,6.31809234619141E-06,2.11596488952637E-06,1.00000011920929,-8.49366188049316E-06,1
-4.06,0,0,110.046249873936,0.00260832889481724,6.98922808372092E-05,0,1.53250206378092,3.84898944436289E-11,51.0744094848633,0.000266227717929723,96.3443852523342,-6362518.42415416,-0.00382326636463404,0.0095587195828557,180.011917114258,-0.00227016350254416,0.0266994871199131,0.999640941619873,-1,1.49011611938477E-07,6.31809234619141E-06,1.31130218505859E-06,1.00000011920929,-4.55975532531738E-06,1
