MET,THRUST,THRUSTAT,MAXTHRUST,MAXTHRUSTAT,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-2.8,0,0,0,0,93.5085661001503,1.03051203665197E-05,4.1051723919026E-06,0,23.4426440934859,1.35073473994303E-17,9.65111667028395E-07,93.2281840546057,-6362518.44156147
-2.6,0,0,0,0,93.5085659632459,4.23737866433816E-06,2.08688446842845E-06,0,150.479001945405,1.1789831640989E-17,1792.88975824713,93.2281839959323,-6362518.44147187
-2.4,0,0,0,0,93.5085656475276,8.09506126009648E-06,3.80018018916931E-06,0,152.033325893178,1.17458454704357E-17,1792.88975788242,93.2281838525087,-6362518.4414989
-2.2,0,0,0,0,93.5085661001503,1.02929943453349E-05,4.10289998421293E-06,0,23.4582087292969,1.39417053722923E-17,9.63863158176537E-07,93.2281840564683,-6362518.44156271
-2,0,0,0,0,93.5085659632459,4.22486495160256E-06,2.10184889744897E-06,0,150.149038667119,1.18533482753796E-17,1792.88975824957,93.2281839959323,-6362518.44147165
-1.8,0,0,0,0,93.5085656475276,8.09681038356275E-06,3.799560735898E-06,0,152.044901456137,1.19896862319751E-17,1792.8897578819,93.2281838525087,-6362518.44149958
-1.6,0,0,0,0,93.5085661001503,1.03151184200919E-05,4.12848696783477E-06,0,23.559793343345,1.35681302011144E-17,9.65188064583344E-07,93.2281840573996,-6362518.44156133
-1.4,0,0,0,0,93.5085659632459,4.14664880280528E-06,2.10320036091779E-06,0,149.504456058419,1.17256632757994E-17,1792.88975825817,93.228183995001,-6362518.44147335
-1.2,0,0,0,0,93.5085656475276,8.10285443225609E-06,3.80864158931297E-06,0,151.994865888007,1.18836940463439E-17,1792.88975788192,93.2281838525087,-6362518.44149904
-1,0,0,0,0,93.5085661001503,1.02957396179088E-05,4.11686074682027E-06,0,23.5362857210717,1.35630154746869E-17,9.63543925536214E-07,93.2281840546057,-6362518.44156271
-0.8,0,0,0,0,93.5085659632459,4.23908779579439E-06,2.08689737472498E-06,0,150.491870625398,1.17507951896E-17,1792.88975824694,93.2281839959323,-6362518.44147184
-0.6,0,0,0,0,93.5085656475276,8.08694824170889E-06,3.80199547295298E-06,0,151.988174527873,1.17450945935903E-17,1792.88975788347,93.2281838515773,-6362518.44149887
-0.4,0,0,0,0,93.5085661001503,1.02957959659194E-05,4.10405175966633E-06,0,23.4584368550599,1.39153412577967E-17,9.64119863056112E-07,93.2281840536743,-6362518.44156273
-0.2,0,0,0,0,93.5085659632459,4.22665660383482E-06,2.10192521711936E-06,0,150.161824253186,1.1895105394456E-17,1792.88975824942,93.2281839968637,-6362518.44147152
0,0,0,0,0,93.5085656475276,8.09702859866683E-06,3.80005572741058E-06,0,152.041703135445,1.19386500962099E-17,1792.88975788239,93.2281838525087,-6362518.44149842
0.2,0,0,0,0,93.5085661001503,1.03091651714006E-05,4.11395464263788E-06,0,23.4861518478771,1.35922433101688E-17,9.65174194789142E-07,93.2281840573996,-6362518.44156261
0.4,0,0,0,0,93.5085659632459,4.12652338337332E-06,2.06801386179054E-06,0,149.906034517247,1.17111171212413E-17,1792.88975825792,93.2281839959323,-6362518.4414746
0.6,0,0,0,0,93.5085656475276,8.10523995675094E-06,3.79592056389239E-06,0,152.10574774595,1.19035090540446E-17,1792.88975788036,93.2281838525087,-6362518.44150046
0.8,0,0,0,0,93.5085661001503,1.0306630001768E-05,4.12114274782727E-06,0,23.5358223794485,1.35399812134946E-17,9.64570517680841E-07,93.2281840546057,-6362518.44156152
1,0,0,0,0,93.5085659632459,4.23699833394798E-06,2.08682355626618E-06,0,150.477008006007,1.17869912888732E-17,1792.88975824713,93.2281839959323,-6362518.44147198
1.2,0,0,0,0,93.5085656475276,8.09367943681226E-06,3.80519469229618E-06,0,151.98788524362,1.17411443737178E-17,1792.8897578829,93.2281838525087,-6362518.4414988
1.4,0,0,0,0,93.5085661001503,1.03019407806221E-05,4.11740302773406E-06,0,23.5245489742518,1.39122878095159E-17,9.64216951615526E-07,93.228184055537,-6362518.44156272
1.6,0,0,0,0,93.5085659632459,4.22664133155812E-06,2.10190449790289E-06,0,150.162013376618,1.18717298458064E-17,1792.88975824942,93.2281839959323,-6362518.44147152
1.8,0,0,0,0,93.5085656475276,8.09562652971545E-06,3.79491738342324E-06,0,152.077676614233,1.1987334052704E-17,1792.88975788174,93.2281838515773,-6362518.44149968
2,0,0,0,0,93.5085661001503,1.0316542082655E-05,4.1152057482935E-06,0,23.4758763255684,1.35805450265619E-17,9.65937374530768E-07,93.2281840573996,-6362518.44156134
2.2,0,0,0,0,93.5085659632459,4.13651824020849E-06,2.09598750994782E-06,0,149.538022310929,1.17088750412603E-17,1792.88975825894,93.228183995001,-6362518.44147333
2.4,0,0,0,0,93.5085656475276,8.10590808435707E-06,3.80798400183261E-06,0,152.011623682786,1.18770165671429E-17,1792.88975788153,93.22818385344,-6362518.44149906
2.6,0,0,0,0,93.5085661001503,1.02999300634124E-05,4.10290785599346E-06,0,23.4415042617982,1.35530735236516E-17,9.64633045441587E-07,93.228184055537,-6362518.44156271
