MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,__PITCH,__YAW,__ROLL,__PROGRADE_PITCH,__PROGRADE_YAW,__PROGRADE_ROLL,__NORMAL_PITCH,__NORMAL_YAW,__NORMAL_ROLL,THROTTLE
125.82,1000.27777099609,1000.27777099609,79090.0929167587,4352.16252726777,4187.25883888928,126.60148991031,14.3695467067837,0.00207124171224912,7.9009952545166,191.610640717897,192289.082182368,-5043572.08884583,3.27571296691895,271.463531494141,176.865600585938,3.31575059890747,284.491088867188,270.856414794922,273.424499511719,269.999969482422,94.0818786621094,1
125.92,1000.27777099609,1000.27777099609,79208.7278010808,4364.18080730767,4199.84041061146,127.140480736689,14.3905395596908,0.0020424388041364,7.86750030517578,192.113631045768,192674.225127008,-5034771.12572007,3.27590274810791,271.393341064453,176.839797973633,3.31812477111816,284.449462890625,270.854461669922,273.426208496094,270.000122070313,94.0244216918945,1
126.02,0,0,79327.325297025,4370.81584233538,4206.86663516254,0,14.4294022456459,0.00201368792579387,7.850182056427,192.352294517694,192889.359310906,-5029808.54770742,3.27731204032898,271.323425292969,176.865798950195,3.32044577598572,284.422943115234,270.853424072266,273.428161621094,270.000030517578,93.9914779663086,1
126.12,0,0,79445.8623881573,4370.54651807984,4206.76713923196,0,14.4888231526088,0.00198092044051051,7.850182056427,192.249861450745,192886.715206677,-5029813.4154218,3.27750730514526,271.256195068359,176.893753051758,3.32270169258118,284.415771484375,270.853546142578,273.430328369141,270,93.9891510009766,1
126.22,0,0,79564.3359351745,4370.27741786991,4206.66774205853,0,14.5452036450543,0.00194346913068441,7.850182056427,192.147458670958,192884.106219226,-5029818.25284906,3.2778172492981,271.192016601563,176.921859741211,3.32496809959412,284.408630371094,270.853698730469,273.432556152344,270.000091552734,93.9889373779297,1
126.32,0,0,79682.7459534118,4370.0085402299,4206.56844207211,0,14.5985686676201,0.00190552058588668,7.850182056427,192.045086157168,192881.532328521,-5029823.06107515,3.27821254730225,271.130889892578,176.950149536133,3.3272225856781,284.401489257813,270.853851318359,273.434783935547,270,93.9914398193359,1
126.42,0,0,79801.0924545424,4369.73988244145,4206.46923621167,0,14.6489606046052,0.00186826816643512,7.85018157958984,191.942743942954,192878.993614431,-5029827.84222776,3.27870726585388,271.072723388672,176.978622436523,3.32948708534241,284.394348144531,270.853973388672,273.437072753906,270.000030517578,93.9961395263672,1
126.52,0,0,79919.3754545776,4369.47144360104,4206.37012351594,0,14.696401624089,0.00183169509196748,7.85018157958984,191.840432026572,192876.490065309,-5029832.59696461,3.27928638458252,271.017517089844,177.007232666016,3.33173966407776,284.38720703125,270.854095458984,273.439331054688,269.999969482422,94.0034332275391,1
126.62,0,0,80037.5949670831,4369.2032217208,4206.27110175087,0,14.7409186632319,0.00179578664984153,7.85018157958984,191.738150438299,192874.021735515,-5029837.32683464,3.2799596786499,270.965240478516,177.036026000977,3.33400416374207,284.380065917969,270.854248046875,273.441497802734,270,94.0130233764648,1
126.72,0,0,80155.7510041511,4368.93521573857,4206.17216958397,0,14.7825647644783,0.00176053704891322,7.85018157958984,191.635899284359,192871.588746888,-5029842.03276058,3.28073453903198,270.915832519531,177.064987182617,3.33625531196594,284.372924804688,270.854370117188,273.443725585938,270,94.0247421264648,1
126.82,0,0,80273.8435819466,4368.66742311214,4206.07332439431,0,14.8213530171734,0.00172593810494317,7.85018157958984,191.533678466378,192869.191015028,-5029846.71655823,3.28158831596375,270.869293212891,177.094100952148,3.33851480484009,284.365783691406,270.854522705078,273.445892333984,269.999816894531,94.0391693115234,1
126.92,0,0,80391.8727143239,4368.39984335592,4205.97456575139,0,14.8573204226988,0.00169198645586332,7.85018157958984,191.431487949915,192866.828476791,-5029851.37850917,3.28252625465393,270.825592041016,177.123397827148,3.34077429771423,284.358642578125,270.854644775391,273.448211669922,269.999938964844,94.055778503418,1
127.02,0,0,80509.838412364,4368.13247556927,4205.87589259176,0,14.8905213392741,0.00165867264177626,7.85018110275269,191.329327793653,192864.501190449,-5029856.01934433,3.28357839584351,270.784637451172,177.152816772461,3.34303379058838,284.351501464844,270.854766845703,273.450500488281,270.000091552734,94.0740432739258,1
127.12,39.5999870300293,71.9999694824219,80627.7393095437,4368.32493610239,4206.25589346907,7.91189367884533,14.9719970608762,0.0016260046499611,5.0051212310791,191.247340122678,192873.669411049,-5029526.27991223,3.28502488136292,270.693542480469,177.179321289063,3.34530186653137,284.342864990234,270.854827880859,273.452697753906,269.999969482422,94.0365295410156,1
127.22,39.5999870300293,71.9999694824219,80745.5772815384,4368.82630419649,4206.95095047958,7.91466548948119,15.0690571789959,0.00159422239237938,5.00336837768555,191.182444161299,192894.681342367,-5028976.5604471,3.28717112541199,270.5859375,177.204818725586,3.34756994247437,284.333557128906,270.854827880859,273.454833984375,269.999969482422,93.9692840576172,1
127.32,39.5999870300293,71.9999694824219,80863.3526121676,4369.32661703537,4207.64514895033,7.91743622363371,15.1714180985466,0.00156328271584914,5.00161743164063,191.117256739356,192915.36961174,-5028427.27549845,3.2891571521759,270.473022460938,177.229965209961,3.34983825683594,284.32421875,270.854827880859,273.457000732422,270.000122070313,93.9006042480469,1
127.42,39.5999870300293,71.9999694824219,80981.0651620002,4369.82599396681,4208.33864957542,7.92020814305038,15.279036539943,0.00153295912250642,4.99986696243286,191.051762338438,192935.712792986,-5027878.31219869,3.29096722602844,270.354827880859,177.254806518555,3.35210609436035,284.314880371094,270.854797363281,273.459106445313,269.999908447266,93.8313217163086,1
127.52,39.5999870300293,71.9999694824219,81098.7148612374,4370.32458181319,4209.03167406078,7.92298049230419,15.3901775657878,0.00150321307095814,4.99811744689941,190.985928497094,192955.668544513,-5027329.51388421,3.29277634620667,270.233093261719,177.279556274414,3.35436916351318,284.305511474609,270.854797363281,273.46142578125,270.000091552734,93.75927734375,1
127.62,39.5999870300293,71.9999694824219,81216.3015865255,4370.82337515785,4209.72518640873,7.925755539484,15.5042608650642,0.00147403253032956,4.99636745452881,190.919837907212,192975.308478102,-5026780.20849232,3.29461550712585,270.108367919922,177.304290771484,3.35663890838623,284.296142578125,270.854797363281,273.463623046875,269.999877929688,93.684928894043,1
