MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,PITCH,HEADING,__PITCH,__YAW,__ROLL,__SRFPROGRADE_X,__SRFPROGRADE_Y,__SRFPROGRADE_Z,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
-4.96,0,0,117.139093446545,0.00319487820205784,5.85676067385833E-05,0,0.928436984299957,6.18426733553588E-11,123.029434204102,0.000326158236589436,97.4040481280535,-6362518.41789512,89.8760845646474,7.03569771831427,359.877014160156,359.984832763672,179.945404052734,-0.00524718826636672,0.0175647623836994,0.999831974506378,-1.00000011920929,1.19209289550781E-07,7.74860382080078E-06,2.08616256713867E-07,0.99999988079071,2.23517417907715E-08,1\n
-4.86,0,0,117.139093573205,0.00318742895727132,7.2349922497856E-05,0,1.17919856446917,6.17969292177946E-11,123.029434204102,0.000325368597941633,97.4040475813672,-6362518.41766472,89.8760830431534,7.03638894023279,359.877014160156,359.984832763672,179.945388793945,-0.00699507631361485,0.0215938184410334,0.999742329120636,-1,2.68220901489258E-07,7.68899917602539E-06,8.94069671630859E-08,1,-8.5681676864624E-08,1\n
-4.76,0,0,117.139092664234,0.00320787253013326,6.9634931278941E-05,0,1.12406871606362,6.16677079908867E-11,123.029434204102,0.000327462664813538,97.4040478700772,-6362518.41754781,89.8760862453743,7.03546296933984,359.877014160156,359.984832763672,179.945373535156,-0.00782578624784946,0.0202477797865868,0.999764382839203,-1.00000011920929,1.19209289550781E-07,7.80820846557617E-06,2.68220901489258E-07,0.999999940395355,5.96046447753906E-08,1\n
-4.66,0,0,117.139094109647,0.00319920531294715,7.25917413101687E-05,0,1.18198689306905,6.19725729813544E-11,123.029434204102,0.000326570770766921,97.4040482174605,-6362518.41737953,89.8760844759043,7.03763804146375,359.877014160156,359.984832763672,179.945419311523,-0.00911002792418003,0.0207813642919064,0.999742567539215,-1,2.68220901489258E-07,7.68899917602539E-06,-1.49011611938477E-07,0.999999940395355,1.49011611938477E-08,1\n
-4.56,0,0,117.139092648402,0.0032084264351561,6.78846833844632E-05,0,1.0915287572103,6.1999500100854E-11,123.029434204102,0.000327523059581836,97.4040487008169,-6362518.4176653,89.8760859796918,7.03733489696986,359.877014160156,359.984832763672,179.945404052734,-0.00694498978555202,0.0199859645217657,0.999776124954224,-1.00000011920929,1.19209289550781E-07,7.74860382080078E-06,-5.96046447753906E-08,0.999999940395355,1.34110450744629E-07,1\n
-4.46,0,0,117.139095380902,0.00316292732177098,4.09342217801238E-05,0,0.61818823225238,6.15857216536297E-11,123.029434204102,0.000322923664953123,97.4040478449315,-6362518.4182377,89.8760860151871,7.03655876142272,359.877014160156,359.984832763672,179.945388793945,-0.00269935140386224,0.0126572363078594,0.999916255474091,-1.00000011920929,0,7.62939453125E-06,-8.94069671630859E-07,1,-1.41561031341553E-07,1\n
-4.36,0,0,117.139094406739,0.00321287543147852,5.59475753869213E-05,0,0.883000265740046,6.13069503977286E-11,123.029434204102,0.00032800092560592,97.4040483087301,-6362518.41750631,89.8760792566939,7.03827376261945,359.877014160156,359.984832763672,179.945404052734,-0.00812359806150198,0.0154025377705693,0.999848365783691,-1.00000011920929,1.19209289550781E-07,7.74860382080078E-06,3.72529029846191E-07,0.999999940395355,-3.35276126861572E-08,1\n
-4.26,0,0,117.139095504768,0.00320739830909314,6.38231948713195E-05,0,1.01866955225206,6.17736228593884E-11,123.029434204102,0.000327426576632206,97.404048233293,-6362518.417787,89.8761016009614,7.03729358045707,359.877044677734,359.984832763672,179.945404052734,-0.0060360417701304,0.018961101770401,0.999801993370056,-1.00000011920929,1.19209289550781E-07,7.74860382080078E-06,5.51342964172363E-07,1.00000011920929,-2.23517417907715E-08,1\n
-4.16,0,0,117.139094860293,0.00319202713139815,6.38790348163029E-05,0,1.02520186137993,6.21313887902768E-11,123.029434204102,0.00032585668043339,97.4040488172323,-6362518.41778064,89.876083078642,7.03561282079797,359.877014160156,359.984832763672,179.945388793945,-0.00611299509182572,0.0190554708242416,0.999799728393555,-1,2.68220901489258E-07,7.68899917602539E-06,7.15255737304688E-07,1,2.23517417907715E-08,1\n
-4.06,0,0,117.139093968086,0.0031812251795202,4.43913578736496E-05,0,0.696676190684497,6.15627281575967E-11,123.029434204102,0.000324787385807213,97.4040484996513,-6362518.41744598,89.876094895765,7.03784446894192,359.877044677734,359.984832763672,179.945388793945,-0.00865978188812733,0.010941905900836,0.999902665615082,-1.00000011920929,1.19209289550781E-07,7.74860382080078E-06,0,1,2.98023223876953E-08,1\n
-3.96,0,0,117.139095913619,0.00320955790305295,4.38477705261529E-05,0,0.683920721511092,6.12800515232E-11,123.029434204102,0.000327681340422714,97.4040480768308,-6362518.41738838,89.8760911811075,7.03708719007604,359.877014160156,359.984832763672,179.945388793945,-0.00901453103870153,0.010265439748764,0.999906659126282,-1.00000011920929,1.19209289550781E-07,7.74860382080078E-06,3.87430191040039E-07,1.00000011920929,-1.49011611938477E-08,1\n
