MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,YAW,ROLL,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-4.94,0,0,109.330837868154,0.00258749144154452,5.1039287021648E-05,0,359.758117675781,359.445068359375,180.113265991211,0.794095995105706,3.80909662902601E-11,51.0744094848633,0.000264144274979117,95.6297572860494,-6362518.42742908
-4.84,0,0,109.330837825313,0.00260272744291033,6.3095814322261E-05,0,359.758117675781,359.445068359375,180.113265991211,1.0241062884595,3.79668572521028E-11,51.0744094848633,0.000265673246985898,95.6297564199194,-6362518.42721916
-4.74,0,0,109.330838121474,0.00258900065898726,4.75020656465062E-05,0,359.758117675781,359.445037841797,180.113265991211,0.767361159181903,3.80495202325825E-11,51.0744094848633,0.000264305276232335,95.6297569042072,-6362518.4276128
-4.64,0,0,109.330838500522,0.00260613438448988,5.70540011232891E-05,0,359.758117675781,359.445068359375,180.113265991211,0.915066780510484,3.82676390423036E-11,51.0744094848633,0.000266035445406487,95.6297574257478,-6362518.42737262
-4.54,0,0,109.330836804584,0.00258843474902638,5.23238287609582E-05,0,359.758117675781,359.445037841797,180.113265991211,0.871241938750308,3.80222001903724E-11,51.0744094848633,0.000264237994542782,95.6297563510016,-6362518.42759048
-4.44,0,0,109.33083831612,0.00259372715863693,5.10917224256334E-05,0,359.758117675781,359.445068359375,180.113265991211,0.882237720400733,3.80354536284129E-11,51.0744094848633,0.000264780989596147,95.6297568809241,-6362518.42773044
-4.34,0,0,109.330837446265,0.00259784458468488,5.31063086545688E-05,0,359.758117675781,359.445037841797,180.113265991211,0.83970559345551,3.8133606595144E-11,51.0744094848633,0.000265197358430669,95.6297568911687,-6362518.42742909
-4.24,0,0,109.330838567577,0.00259679928364561,5.55454512621534E-05,0,359.758117675781,359.445037841797,180.113265991211,0.904975721077396,3.80688292291825E-11,51.0744094848633,0.000265085390196873,95.6297573009506,-6362518.42745453
-4.14,0,0,109.330837261863,0.0025950191123743,6.40328149318653E-05,0,359.758117675781,359.445068359375,180.113265991211,1.12284896009714,3.79402231175712E-11,51.0744094848633,0.00026488361788779,95.6297564981505,-6362518.4275374
-4.04,0,0,109.330838729627,0.00261635553140754,5.20687515767433E-05,0,359.758117675781,359.445068359375,180.113265991211,0.763349483390008,3.80161017473098E-11,51.0744094848633,0.000267089935732656,95.6297574080527,-6362518.42727681
-3.94,0,0,109.330837707967,0.00257817379933806,5.12375262244725E-05,0,359.758117675781,359.445037841797,180.113265991211,0.86686036417988,3.81950690299645E-11,51.0744094848633,0.000263192313923355,95.6297568520531,-6362518.42764721
-3.84,0,0,109.330838121474,0.00260532039141846,5.51529886318447E-05,0,359.758117675781,359.445037841797,180.113265991211,0.850275457274614,3.8061736708626E-11,51.0744094848633,0.000265956488760821,95.6297568483278,-6362518.42730022
-3.74,0,0,109.330837607384,0.00260302501580255,5.78967374893088E-05,0,359.758117675781,359.445068359375,180.113265991211,0.823516579237,3.8104939427873E-11,51.0744094848633,0.000265715980503956,95.6297570122406,-6362518.42692756
-3.64,0,0,109.330837631598,0.00260199584472352,6.06228469766139E-05,0,359.758117675781,359.445068359375,180.113265991211,0.957228336243312,3.81523088480991E-11,51.0744094848633,0.000265604529658958,95.629756401293,-6362518.42718919
-3.54,0,0,109.330835531466,0.0025933052371535,4.3207789292819E-05,0,359.758087158203,359.445037841797,180.113265991211,0.559423437120339,3.82034697817539E-11,51.0744094848633,0.000264752541966118,95.6297567142174,-6362518.42732006
