MET,THRUST,THRUSTAT,MAXTHRUST,MAXTHRUSTAT,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-2.98,0,0,0,0,93.3719029407948,2.08332725964183E-05,1.87911615446112E-05,0,65.1593412270386,1.55818294211233E-15,9.18474825084559E-07,92.6354658622295,-6362518.44357757
-2.94,0,0,0,0,93.3719028793275,2.12370829111113E-05,1.64766461441841E-05,0,51.5845288951938,1.34238020140334E-15,1.36810388084996E-06,92.6354657197371,-6362518.4434696
-2.88,0,0,0,0,93.3719024769962,1.49445523863892E-05,1.48278775847429E-05,0,97.8764692198833,1.73597233170426E-15,1792.88950769759,92.6354655511677,-6362518.44354285
-2.84,0,0,0,0,93.3719029407948,2.09609526156399E-05,1.92637217390991E-05,0,67.5245001834367,1.55358359388762E-15,8.43653538140643E-07,92.6354658547789,-6362518.44356604
-2.78,0,0,0,0,93.371902753599,1.60612443334989E-05,1.58694311437243E-05,0,81.8549000836627,1.45043080761444E-15,2.52692302638025E-07,92.6354656694457,-6362518.44376654
-2.74,0,0,0,0,93.3719024769962,1.47360437880072E-05,1.4592340914215E-05,0,98.7163078880272,1.73644134313217E-15,1792.88950767771,92.6354655427858,-6362518.44354418
-2.68,0,0,0,0,93.3719024900347,1.6189756526755E-05,1.20812518756746E-05,0,132.22309448813,1.49417053901478E-15,1792.88950653977,92.6354655362666,-6362518.44413042
-2.64,0,0,0,0,93.371902753599,1.67896444212608E-05,1.66752632179627E-05,0,84.0262866119983,1.45048030147925E-15,1.99763917407836E-07,92.6354656685144,-6362518.44375436
-2.58,0,0,0,0,93.3719029454514,1.82244634856458E-05,7.99820101323838E-06,0,26.7654883332448,1.62229727731896E-15,1.67203006640193E-06,92.635465788655,-6362518.44387666
-2.54,0,0,0,0,93.3719024900347,1.69338544968874E-05,1.24258588501468E-05,0,133.297018474425,1.48326822689284E-15,1792.8895064701,92.6354655278847,-6362518.44411954
-2.48,0,0,0,0,93.3719027582556,2.50386098940523E-05,2.4665468534169E-05,0,80.8290099082899,1.35737900912666E-15,4.3972477214993E-07,92.6354656778276,-6362518.44329198
-2.44,0,0,0,0,93.3719029454514,1.81218485992495E-05,8.79530999414803E-06,0,29.7666531990554,1.62233298301492E-15,1.61778370966204E-06,92.6354657849297,-6362518.44386476
-2.38,0,0,0,0,93.3719028793275,2.12224795132034E-05,1.64584422183465E-05,0,51.5550247882555,1.33824485062796E-15,1.36802725592133E-06,92.6354657290503,-6362518.44347009
-2.34,0,0,0,0,93.3719027582556,2.47729400283812E-05,2.44382468021167E-05,0,81.3029735261683,1.36909722434645E-15,4.14384430769132E-07,92.6354656722397,-6362518.44329213
-2.28,0,0,0,0,93.3719029407948,2.09623157669827E-05,1.92730342255823E-05,0,67.5804498831355,1.55773186474157E-15,8.4178748238628E-07,92.635465849191,-6362518.44356582
-2.24,0,0,0,0,93.3719028793275,2.15274134765205E-05,1.66678066489966E-05,0,51.4450444166644,1.34246505639758E-15,1.39107862651144E-06,92.6354657271877,-6362518.44346968
-2.18,0,0,0,0,93.3719024769962,1.52820445028106E-05,1.50229459596786E-05,0,101.276265354868,1.73595232131103E-15,1792.88950760575,92.6354655390605,-6362518.44353342
-2.14,0,0,0,0,93.3719029407948,2.08458056033017E-05,1.87972603799101E-05,0,65.1262156007305,1.55811608457586E-15,9.20139882509829E-07,92.6354658622295,-6362518.44357744
-2.08,0,0,0,0,93.371902753599,1.64318148166224E-05,1.62109329828825E-05,0,81.3121740082029,1.45054587299204E-15,2.74168883152015E-07,92.6354656778276,-6362518.44376533
-2.04,0,0,0,0,93.3719024769962,1.49386102508977E-05,1.48231510980932E-05,0,97.8403772836929,1.73627664383717E-15,1792.88950769858,92.6354655511677,-6362518.44354292
-1.98,0,0,0,0,93.3719024900347,1.69476057936199E-05,1.24331493441363E-05,0,133.311240724827,1.48727297638857E-15,1792.88950646894,92.635465523228,-6362518.44411932
-1.94,0,0,0,0,93.371902753599,1.60523467044149E-05,1.58613080185933E-05,0,81.87038622052,1.45068523751836E-15,2.52109657594701E-07,92.6354656694457,-6362518.44376668
-1.88,0,0,0,0,93.3719029454514,1.81258062987912E-05,8.78281569222866E-06,0,29.7145447894588,1.62269460094033E-15,1.61895570727211E-06,92.6354657812044,-6362518.44386502
-1.84,0,0,0,0,93.3719024900347,1.61739769558681E-05,1.20791241489234E-05,0,132.171698656423,1.49396501793454E-15,1792.88950654194,92.6354655353352,-6362518.44413044
-1.78,0,0,0,0,93.3719027582556,2.4443690283338E-05,2.39677522008819E-05,0,79.4063696697856,1.36935975051947E-15,4.90107481709856E-07,92.6354656824842,-6362518.44330337
-1.74,0,0,0,0,93.3719029454514,1.82285792272303E-05,7.99801143627054E-06,0,26.7585014516799,1.62222252891259E-15,1.67250186677848E-06,92.6354657867923,-6362518.44387665
-1.68,0,0,0,0,93.3719028793275,2.15408680382273E-05,1.66872972158238E-05,0,51.4832443087965,1.34257243187974E-15,1.39081521410844E-06,92.6354657215998,-6362518.44346911
-1.64,0,0,0,0,93.3719027582556,2.50364653655541E-05,2.46674424921856E-05,0,80.8835341104821,1.3579027963761E-15,4.37289941146446E-07,92.6354656778276,-6362518.44329196
-1.58,0,0,0,0,93.3719029407948,2.09693266954286E-05,1.92777745782122E-05,0,67.5685747108237,1.55407795887432E-15,8.42474150886119E-07,92.6354658547789,-6362518.44356629
-1.54,0,0,0,0,93.3719028793275,2.12265783042238E-05,1.6462920125299E-05,0,51.5606222567651,1.33888720271108E-15,1.36813127937785E-06,92.635465728119,-6362518.44347
