TIME,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,APOAPSIS,PERIAPSIS
-6.94,0,0,101.175313211977,0.00314841364571196,4.62056178178365E-06,0,0.201283296609775,5.55417149692499E-11,90.3392249681056,-6362518.45633229
-6.74,0,0,101.175312040374,0.00317817145203922,4.20559063635948E-06,0,0.129292796533601,5.51440718142062E-11,90.3392243878916,-6362518.45650299
-6.54,0,0,101.175311205909,0.00314193191541476,4.78336640786656E-06,0,0.192361965604893,5.52179059187613E-11,90.3392233308405,-6362518.45644729
-6.34,0,0,101.175312154926,0.00313639590405466,3.2683891471113E-06,0,0.156323067686068,5.55894334604018E-11,90.3392240693793,-6362518.45620703
-6.14,0,0,101.175311096944,0.00313046515110303,1.4133285255938E-06,0,0.131975578206611,5.55315939722319E-11,90.3392245518044,-6362518.45627547
-5.94,0,0,101.175313033164,0.0031427621130457,6.2221820271373E-06,0,0.00507033066375801,5.54646200591961E-11,90.3392249690369,-6362518.45635255
-5.74,0,0,101.175312352367,0.00313634349285448,1.10851802360658E-05,0,0.143721547397929,5.49859603332443E-11,90.3392246617004,-6362518.45602934
-5.54,0,0,101.175311626866,0.0031392792271404,5.14269385068213E-06,0,0.0521154600299988,5.50048373959379E-11,90.3392240460962,-6362518.45624868
-5.34,0,0,101.1753125377,0.00313717998456576,5.52954349610951E-06,0,0.0176376783688239,5.52056677974211E-11,90.3392240982503,-6362518.4563294
-5.14,0,0,101.175312813371,0.00313814302186019,3.75102947237579E-06,0,0.0595451911970528,5.54983063991912E-11,90.3392248945311,-6362518.45639603
-4.94,0,0,101.175312532112,0.00314680342944893,6.08752337401706E-06,0,0.226756308928768,5.50775532974604E-11,90.3392241355032,-6362518.45636863
-4.74,0,0,101.175312167965,0.00314296877827362,6.50384413866202E-06,0,0.0104381866830623,5.52842446112831E-11,90.3392241103575,-6362518.4563223
-4.54,0,0,101.175312857144,0.00313827367163087,1.45569576429652E-05,0,0.157121675262979,5.55877500517521E-11,90.3392248405144,-6362518.45619135
-4.34,0,0,101.175313271582,0.00314091975521344,3.25156169820878E-06,0,0.130468311658357,5.53117160484728E-11,90.3392249215394,-6362518.4564639
-4.14,0,0,101.175313523039,0.00313863038480592,7.2192500446888E-06,0,0.0630101546139751,5.51994738720783E-11,90.3392249168828,-6362518.45620225
-3.94,0,0,101.175312879495,0.0031304513943965,4.70947529184549E-06,0,0.0679674498927536,5.49821884405124E-11,90.3392248563468,-6362518.45622683
-3.74,0,0,101.175312265754,0.0031354800786171,1.48579255805581E-05,0,0.165237598647821,5.52450837914414E-11,90.3392247622833,-6362518.45616342
-3.54,0,0,101.175314552151,0.00315189853321836,5.88770853297294E-06,0,0.213444832637143,5.53992373858315E-11,90.3392251133919,-6362518.45645954
-3.34,0,0,101.175311749801,0.00313214879713006,4.29633697430938E-06,0,0.189749318568878,5.49944162306768E-11,90.3392241643742,-6362518.45640624
-3.14,0,0,101.175312606618,0.00314021012134321,1.02979162895805E-05,0,0.0892286823624328,5.52184116748746E-11,90.3392248339951,-6362518.45619963
-2.94,0,0,101.17531287577,0.00312117709513847,1.06201587655825E-05,0,0.118694305653469,5.55300940331684E-11,90.3392255455256,-6362518.45610188
-2.74,435.502563476563,435.502563476563,101.175312028266,0.00315985582586334,3.3563893023901E-06,16.2812590737152,0.111560130988351,5.51561124716585E-11,90.3392245136201,-6362518.45646239
-2.54,435.502563476563,435.502563476563,101.175315335393,0.00316940698299161,7.6270708005494E-06,16.2812590737152,0.245181163084319,5.5935851913599E-11,90.3392269797623,-6362518.45648106
-2.34,435.502563476563,435.502563476563,101.175316943787,0.00315647549844119,1.4171696479823E-05,16.2812590737152,0.371298997623416,5.57198071628747E-11,90.3392284605652,-6362518.45645817
-2.14,435.502563476563,435.502563476563,101.175320599228,0.00316427634891901,9.40388898470923E-06,16.2812590737152,0.0567581956542153,5.59711424933532E-11,90.3392319548875,-6362518.45629707
-1.94,435.502563476563,435.502563476563,101.175325082615,0.00317104421591489,2.09227234734175E-06,16.2812590737152,0.100900541609204,5.61867045514864E-11,90.3392369216308,-6362518.45626011
-1.74,435.502563476563,435.502563476563,101.175330287777,0.00317126794109502,6.40233389305402E-06,16.2812590737152,0.220679976968878,5.61697747685165E-11,90.3392426744103,-6362518.45647677
-1.54,435.502563476563,435.502563476563,101.175341243856,0.00318939901880533,2.20860616160259E-06,16.2812590737152,0.0869205337077692,5.67880613145369E-11,90.3392533548176,-6362518.45628304
-1.34,435.502563476563,435.502563476563,101.175357028842,0.00321261813705942,7.3747870606194E-06,16.2812590737152,0.015487678280611,5.75987819759091E-11,90.3392692729831,-6362518.45636352
-1.14,435.502563476563,435.502563476563,101.175382257439,0.00327817069123876,1.94970536582166E-05,16.2812590737152,0.447371670045912,5.88112416203791E-11,90.3392928140238,-6362518.45666961
-0.94,435.502563476563,435.502563476563,101.175417869352,0.00332136505113013,5.54386336944931E-06,16.2812590737152,0.0299713766382413,6.08031589468606E-11,90.3393303500488,-6362518.45638738
-0.74,435.502563476563,435.502563476563,101.177116784267,0.0445642313507907,0.000803009510028558,16.2812590737152,1.00417070693945,2.98173592007235E-10,90.3411153666675,-6362518.48883125
-0.54,435.502593994141,435.502593994141,101.18402932398,0.0249917605999394,0.0012971463830421,16.2812602146146,3.00079907751442,7.70410651968122E-09,90.3479066919535,-6362518.40277131
