MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS,PITCH,HEADING,__PITCH,__YAW,__ROLL,__SRFPROGRADE_X,__SRFPROGRADE_Y,__SRFPROGRADE_Z,__PROGRADE_X,__PROGRADE_Y,__PROGRADE_Z,__NORMAL_X,__NORMAL_Y,__NORMAL_Z,THROTTLE
-4.98,0,0,114.582048892044,0.00263228939402146,9.0408569685425E-05,0,1.96508867862073,3.89839453621916E-11,51.0844078063965,0.000268611644742123,100.882655803114,-6362518.39992725,89.9897147773155,67.9825460594865,-0.00385447451844811,0.00953133217990398,180.012008666992,-0.00232152687385678,0.0342675037682056,0.999409973621368,-1,1.78813934326172E-07,6.3776969909668E-06,2.08616256713867E-07,1.00000011920929,4.76837158203125E-07,1
-4.88,0,0,114.582045207731,0.00263464812892207,7.61967523556431E-05,0,1.65189993344302,3.88991282253316E-11,51.0844078063965,0.000268898525746408,100.882655019872,-6362518.400718,89.9897127889589,68.0200001888063,-0.00385138764977455,0.00953874923288822,180.012069702148,0.00488750915974379,0.028505127876997,0.999581694602966,-1,1.49011611938477E-07,6.31809234619141E-06,3.30805778503418E-06,1.00000011920929,-1.28746032714844E-05,1
-4.78,0,0,114.582045207731,0.0026105959716664,7.61655408581193E-05,0,1.66481626352466,3.88340369683348E-11,51.0844078063965,0.000266441735789158,100.882655055262,-6362518.40134491,89.9897276349625,67.9992626853867,-0.00384853477589786,0.0095260851085186,180.012054443359,0.0106987897306681,0.0271431617438793,0.999574303627014,-1,1.19209289550781E-07,6.3776969909668E-06,-2.02655792236328E-06,1,9.11951065063477E-06,1
-4.68,0,0,114.582044294104,0.00258890057131861,8.02265583891484E-05,0,1.7720898049986,3.92355571024014E-11,51.0844078063965,0.000264213044260941,100.882656364702,-6362518.40014009,89.9897215568523,67.9463085454403,-0.00386046222411096,0.00952616520226002,180.012054443359,-0.000386049621738493,0.0309862121939659,0.999519765377045,-1.00000011920929,1.49011611938477E-07,6.25848770141602E-06,4.05311584472656E-06,1.00000011920929,-1.54078006744385E-05,1
-4.58,0,0,114.582046785392,0.00263041183533085,0.000103214243059957,0,2.24448240435971,3.88843224667494E-11,51.0844078063965,0.000268371663196376,100.882655072957,-6362518.40039808,89.9897178864586,67.960561667105,-0.00385863473638892,0.00953048467636108,180.01203918457,0.0019748117774725,0.039189163595438,0.999229848384857,-1,2.38418579101563E-07,6.3776969909668E-06,-5.66244125366211E-06,1.00000011920929,2.4259090423584E-05,1
-4.48,0,0,114.582048259676,0.00265375933178301,8.80006078131285E-05,0,1.89525918496109,3.86758234382468E-11,51.0844078063965,0.000270813386123336,100.882655216381,-6362518.40066652,89.9897201220275,67.984455596014,-0.00385224586352706,0.00952628441154957,180.01203918457,0.00438658986240625,0.0328693240880966,0.999450027942657,-1.00000011920929,2.38418579101563E-07,6.3776969909668E-06,-4.35113906860352E-06,0.999999940395355,1.9073486328125E-05,1
-4.38,0,0,114.582046121359,0.00259713553645853,9.06903351614555E-05,0,1.99767034425277,3.9038338579551E-11,51.0844078063965,0.00026501910326715,100.882654872723,-6362518.4000362,89.9897103851399,67.9528749612154,-0.0038624603766948,0.00953774061053991,180.012054443359,-0.00134575716219842,0.0348934270441532,0.999390125274658,-1.00000011920929,1.49011611938477E-07,6.25848770141602E-06,-1.40070915222168E-06,1.00000023841858,6.3478946685791E-06,1
-4.28,0,0,114.582049837336,0.00266499865540701,9.27761980936185E-05,0,1.98998757340361,3.90804211428376E-11,51.0844078063965,0.000271945058102574,100.882655755617,-6362518.40068856,89.9897244461142,68.00315004719,-0.00384805910289288,0.00953064765781164,180.01203918457,0.00456646457314491,0.034512136131525,0.999393820762634,-1.00000011920929,2.38418579101563E-07,6.3776969909668E-06,2.65240669250488E-06,1,-9.68575477600098E-06,1
-4.18,0,0,114.582044294104,0.0026112740252129,7.34393634359279E-05,0,1.60694876344286,3.90213083141738E-11,51.0844078063965,0.000266518978037311,100.882655003108,-6362518.40044906,89.9897242760058,67.9598508187241,-0.00385640631429851,0.00952543504536152,180.012054443359,0.00245808297768235,0.0280163548886776,0.999604463577271,-1,1.19209289550781E-07,6.3776969909668E-06,1.60932540893555E-06,1.00000011920929,-6.40749931335449E-06,1
-4.08,0,0,114.582045207731,0.00264859933958148,0.000105152462338147,0,2.27115775735879,3.89434306070824E-11,51.0844078063965,0.00027022232939089,100.882655045949,-6362518.40032649,89.9897206050313,67.9741028350004,-0.00385608966462314,0.00952847767621279,180.01203918457,0.00131207471713424,0.0396794602274895,0.999211609363556,-1.00000011920929,2.38418579101563E-07,6.3776969909668E-06,-2.92062759399414E-06,1.00000011920929,1.32322311401367E-05,1
-3.98,0,0,114.582046121359,0.00263033974777743,9.08282209880026E-05,0,1.97471693272905,3.87382365133583E-11,51.0844078063965,0.000268410980197586,100.882654812187,-6362518.40030901,89.9897183687193,67.9502100346542,-0.0038605707231909,0.00953336711972952,180.01203918457,0.00116186530794948,0.0345114320516586,0.999403655529022,-1,1.78813934326172E-07,6.3776969909668E-06,9.5367431640625E-07,1.00000011920929,-2.26497650146484E-06,1
-3.88,0,0,114.582042716444,0.0026223779567626,6.61700193576456E-05,0,1.44096293061369,3.89367551546508E-11,51.0844078063965,0.000267672952872999,100.882654836401,-6362518.40050609,89.9897215568523,67.94630858796,-0.00386046222411096,0.00952616520226002,180.012054443359,0.00296989036723971,0.0250574760138988,0.99968159198761,-1,1.49011611938477E-07,6.31809234619141E-06,6.25848770141602E-07,1.00000011920929,-1.66893005371094E-06,1
-3.78,0,0,114.582042716444,0.00260582385768659,8.30568509686599E-05,0,1.82178388339794,3.89803439818653E-11,51.0844078063965,0.000265932762886223,100.882654819638,-6362518.40051679,89.9897188370354,67.9327735231701,-0.00386125757358968,0.00952734146267176,180.012054443359,0.00308719836175442,0.0317237265408039,0.999491930007935,-1,1.78813934326172E-07,6.31809234619141E-06,-2.98023223876953E-08,1.00000011920929,8.64267349243164E-07,1
-3.68,0,0,114.582046785392,0.00263330195815319,9.0050376730526E-05,0,1.95592744342973,3.87361580132747E-11,51.0844078063965,0.000268716347022746,100.882654941641,-6362518.4001604,89.9897103850691,67.9528749592235,-0.00386190414428711,0.0095386728644371,180.01203918457,-0.00019433960551396,0.0341961346566677,0.999415099620819,-1,1.49011611938477E-07,6.31809234619141E-06,6.25848770141602E-07,1,-1.40070915222168E-06,1
