MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-4.94,0,0,103.511033331975,0.00241529566639428,5.59139540619514E-05,0,89.9893667309916,1.33612163336514,3.395316127168E-11,51.0678825378418,0.000246547098981864,89.8076639091596,-6362518.45646771
-4.84,0,0,103.511035098694,0.0024314435584416,5.13586685920655E-05,0,89.9893673633663,1.22039654664267,3.40264249295488E-11,51.0678825378418,0.000248206573701282,89.8076630234718,-6362518.45664926
-4.74,0,0,103.511035590433,0.00240164390577375,5.47460674244036E-05,0,89.9893647052398,1.31625827484454,3.39209643322742E-11,51.0678825378418,0.000245155557877297,89.8076640004292,-6362518.4565084
-4.64,0,0,103.511037375778,0.00242131877913882,5.83776014450245E-05,0,89.9893572746062,1.39116159839132,3.38376044018159E-11,51.0678825378418,0.000247156309455931,89.8076637471095,-6362518.45636473
-4.54,0,0,103.511034910567,0.00241023929678758,4.79041301633663E-05,0,89.989364705274,1.14909706258694,3.36714662857076E-11,51.0678825378418,0.000246048292069645,89.8076631082222,-6362518.45679972
-4.44,0,0,103.511035649106,0.00243375652757078,5.75777046826929E-05,0,89.9893641820623,1.36623760003579,3.38367014990235E-11,51.0678825378418,0.000248428579766369,89.8076631436124,-6362518.4564877
-4.34,0,0,103.511035543866,0.00240522664356962,5.58371733108094E-05,0,89.9893599769824,1.33964835074627,3.38817666707541E-11,51.0678825378418,0.000245518905217068,89.8076632814482,-6362518.45648187
-4.24,0,0,103.511033367366,0.00242261461782197,5.25535718157594E-05,0,89.9893630929544,1.25262752366641,3.38906218526884E-11,51.0678825378418,0.00024730227926284,89.8076632302254,-6362518.45660689
-4.14,0,0,103.511033465154,0.0024293263439534,5.61324767301868E-05,0,89.9893624596687,1.33422856873612,3.38614998366356E-11,51.0678825378418,0.000247979560867861,89.8076637433842,-6362518.45645634
-4.04,0,0,103.511035272852,0.00241666333042718,5.51887452152413E-05,0,89.9893578421024,1.31872359419798,3.37196200435541E-11,51.0678825378418,0.000246688479933255,89.807663067244,-6362518.45649219
-3.94,0,0,103.511036605574,0.00240777740752616,5.27668697982227E-05,0,89.9893647052398,1.26593155574562,3.38072064065942E-11,51.0678825378418,0.000245786490722821,89.8076640712097,-6362518.45659418
-3.84,0,0,103.511032668874,0.00236165082351018,6.78847822509846E-05,0,89.9893533518301,1.65678219651168,3.36638915961228E-11,51.0678825378418,0.000241036150555374,89.8076625345275,-6362518.45597156
-3.74,0,0,103.511036197655,0.00241857337504047,4.83622302675668E-05,0,89.9893694317603,1.15609402419756,3.35828829729371E-11,51.0678825378418,0.000246898478053481,89.8076633615419,-6362518.45678628
-3.64,0,0,103.511035341769,0.00242418972286789,4.94467226022973E-05,0,89.989366273624,1.17909122060314,3.38476158773157E-11,51.0678825378418,0.000247469814098622,89.8076629815623,-6362518.45674235
-3.54,0,0,103.511036396027,0.00245255771101364,4.98907865615295E-05,0,89.9893684084487,1.17592872046509,3.40660294563708E-11,51.0678825378418,0.000250366003001545,89.8076638318598,-6362518.45672241
-3.44,0,0,103.511036305688,0.00239261709513405,6.10193883063465E-05,0,89.9893709579115,1.47122532738875,3.40738021179502E-11,51.0678825378418,0.000244218136685959,89.8076629433781,-6362518.45624752
-3.34,0,0,103.511032597162,0.00239197851030463,6.12378168943838E-05,0,89.9893652282373,1.47679349284502,3.36968018025337E-11,51.0678825378418,0.000244152340087567,89.8076620390639,-6362518.45623994
-3.24,0,0,103.511034788564,0.00237327702788779,5.01922896352745E-05,0,89.9893619588025,1.22206049699014,3.4011508813621E-11,51.0678825378418,0.000242268680949564,89.8076641652733,-6362518.45670304
-3.14,0,0,103.511034594849,0.0024354495789799,5.48786096122379E-05,0,89.9893682720786,1.30154549471581,3.3953505770547E-11,51.0678825378418,0.000248607857201932,89.8076637210324,-6362518.45652301
-3.04,0,0,103.511037173681,0.00239311476174012,4.99953750122362E-05,0,89.9893519595699,1.20725105765258,3.362070051417E-11,51.0678825378418,0.000244295087213686,89.8076636074111,-6362518.45670867
-2.94,0,0,103.511031990871,0.0023977930137691,5.33936680219252E-05,0,89.9893613000276,1.28569206069432,3.37058603822608E-11,51.0678825378418,0.000244765372258371,89.8076626705006,-6362518.45656771
-2.84,0.0148311136290431,0.0148311136290431,103.511033738032,0.0024323603982202,4.98248649405082E-05,0.000290423584091519,89.9893703683881,1.18399501108078,3.33864310896627E-11,51.0671806335449,0.000248303462171862,89.8077664608136,-6362518.45672021
-2.74,0.0364525951445103,0.0364525951445103,103.511031904258,0.00238118221961754,5.96617701036853E-05,0.000713816480414142,89.9893602822595,1.44568042675756,3.37168684360588E-11,51.0671806335449,0.000243053716872055,89.8077679686248,-6362518.4563022
-2.64,0.0620613135397434,0.0620613135397434,103.511032393202,0.00246328194382994,6.04812518585172E-05,0.00121528764207861,89.9893640717553,1.41631876050999,3.37470064659196E-11,51.0671806335449,0.00025143698417196,89.8077673790976,-6362518.45629074
-2.54,0.0923823416233063,0.0923823416233063,103.511034406722,0.00241715771721669,4.9596540779448E-05,0.00180903547987574,89.9893624597373,1.18610970753596,3.36006085012436E-11,51.0671806335449,0.000246751352847241,89.807767204009,-6362518.45674292
-2.44,0.128306597471237,0.128306597471237,103.511032900773,0.00240598005332977,6.13971910056665E-05,0.0025125059946418,89.9893699126126,1.47209539242407,3.38673738763328E-11,51.0671806335449,0.000245582013349122,89.8077671667561,-6362518.45623149
-2.34,0.170928433537483,0.170928433537483,103.511035005562,0.00243622820167162,5.37521438996719E-05,0.00334712884903624,89.9893630929544,1.27389142980538,3.38108039757486E-11,51.0671806335449,0.000248689942054625,89.8077673818916,-6362518.45655598
-2.24,0.221575945615768,0.221575945615768,103.511034512892,0.00240627013209348,5.97314233597419E-05,0.00433891087909835,89.989372614087,1.43234181207329,3.385009377995E-11,51.0671806335449,0.000245615929088672,89.8077676016837,-6362518.45629937
-2.14,0.281825304031372,0.281825304031372,103.511033464223,0.00242022794055653,5.32940667497784E-05,0.0055187167283374,89.9893673633663,1.27218396958605,3.37858396861978E-11,51.0671806335449,0.000247056872353824,89.8077675523236,-6362518.45659309
-2.04,0.353483885526657,0.353483885526657,103.511033707298,0.00241530949163579,5.9638843566265E-05,0.00692193853549967,89.9893682720786,1.42537868404863,3.3852291514695E-11,51.0671806335449,0.000246539410909463,89.8077675160021,-6362518.45634835
-1.94,0.438604742288589,0.438604742288589,103.511033942923,0.0024072344001303,4.79297355621529E-05,0.00858877926776478,89.9893624596687,1.15123756553114,3.39216587117077E-11,51.0671806335449,0.000245741369326424,89.8077670456842,-6362518.45680695
-1.84,0.539625287055969,0.539625287055969,103.511032606475,0.0024296157356345,6.11328538089368E-05,0.0105669684592202,89.9893683840405,1.45102452335832,3.39257104210011E-11,51.0671806335449,0.000247996789539684,89.8077676007524,-6362518.45627565
-1.74,0.659369707107544,0.659369707107544,103.511030800641,0.0024085627433263,5.37853574655229E-05,0.0129118094816932,89.9893619359508,1.29011263307438,3.38657505076654E-11,51.0671806335449,0.000245864399175844,89.8077670987695,-6362518.45660179
-1.64,0.801138341426849,0.801138341426849,103.511035040021,0.00243499838858852,5.97332246206397E-05,0.0156879297327137,89.9893533518301,1.41524458577537,3.38749822537752E-11,51.0671806335449,0.00024855010462943,89.807768356055,-6362518.45631089
-1.54,0.96886670589447,0.96886670589447,103.51103181392,0.00243599609796878,4.92950109347634E-05,0.0189723946745171,89.9893652282716,1.16971368856525,3.38260122879245E-11,51.0671806335449,0.000248675869897852,89.8077675234526,-6362518.45673823
-1.44,1.16733062267303,1.16733062267303,103.511032791808,0.0024096200672911,5.67182596330139E-05,0.0228587246875783,89.9893573815553,1.359146774045,3.38202158288311E-11,51.0671806335449,0.000245965516000979,89.8077673558146,-6362518.45644514
-1.34,1.40238916873932,1.40238916873932,103.511035935953,0.00242634516789657,5.64132701338787E-05,0.0274616525005126,89.9893531577318,1.34245175755158,3.39292812876759E-11,51.0671806335449,0.000247674420506883,89.8077675877139,-6362518.45644168
-1.24,1.68120837211609,1.68120837211609,103.511034594849,0.002430967219999,4.15770424664022E-05,0.0329215036205022,89.9893682721129,0.990003287201122,3.38090391406843E-11,51.0671806335449,0.000248177021603624,89.8077672505751,-6362518.45705549
-1.14,2.0123884677887,2.0123884677887,103.511032233015,0.00240473675153945,6.34720027725253E-05,0.039406688264807,89.9893619359165,1.52286315802399,3.40220693740401E-11,51.0671806335449,0.000245449524868491,89.8077675960958,-6362518.45616941
-1.04,2.40580201148987,2.40580201148987,103.511033256538,0.00240526592463932,5.41238251764901E-05,0.0471105312970724,89.9893704353521,1.2996179112737,3.39464208611476E-11,51.0671806335449,0.000245526918092764,89.8077672636136,-6362518.45653983
-0.94,2.87218618392944,2.87218618392944,103.511034275405,0.00241586942032303,5.22008466564402E-05,0.0562432887090455,89.989364552845,1.24808848064853,3.3638499694977E-11,51.0671806335449,0.00024661418069627,89.8077671974897,-6362518.45661288
-0.84,3.42411184310913,3.42411184310913,103.511034304276,0.00241653637516555,6.22596262226917E-05,0.0670511236498517,89.9893624596687,1.48606042910405,3.37578558596131E-11,51.0671806335449,0.000246657967295505,89.8077673213556,-6362518.4561988
-0.74,4.07731914520264,4.07731914520264,103.5110328421,0.00239939748542603,4.6308759299382E-05,0.0798422606186396,89.9893726140527,1.11568896096012,3.38889009979771E-11,51.0671806335449,0.000244944271912573,89.8077674573287,-6362518.45685997
