MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-1.78,435.509552001953,435.509552001953,102.255123462528,0.00316911900218327,6.46296777245395E-06,16.2705716002631,0.120287098431145,5.85798221856321E-11,0.000323581630141234,91.4250321444124,-6362518.44941218
-1.58,435.509552001953,435.509552001953,102.255133573897,0.0031862736163417,4.57975016555106E-06,16.2705716002631,0.082094523133013,5.86281707582159E-11,0.000325333537830375,91.4250412322581,-6362518.44948793
-1.38,435.509552001953,435.509552001953,102.255147076212,0.00323303376313405,1.93600116746034E-06,16.2705716002631,0.0379008753137103,5.93701228905404E-11,0.000330108246771488,91.4250552188605,-6362518.44951923
-1.18,435.509552001953,435.509552001953,102.255171550438,0.00323905452175348,4.79329825841222E-06,16.2705716002631,0.0814666283996314,6.08239931036426E-11,0.000330722694229735,91.4250781647861,-6362518.44977221
-0.98,435.509552001953,435.509552001953,102.255205360241,0.00333242308775441,2.25534102250432E-05,16.2705716002631,0.389737343086381,6.22021449452502E-11,0.000340248643055929,91.4251118833199,-6362518.44872639
-0.78,435.509552001953,435.509552001953,102.255493015051,0.0151398093917517,0.000339478687756699,16.2705716002631,1.28568249113748,6.53022994488732E-11,0.00154545874295309,91.4254111321643,-6362518.44002709
-0.58,435.509582519531,435.509582519531,102.262771449983,0.0240907742827932,0.000765582708392424,16.2705727403953,1.82105725971263,7.87888075610009E-09,0.00245854159095416,91.4327057469636,-6362518.47112424
-0.38,435.509613037109,435.509613037109,102.266758552752,0.0113682363301462,0.000168012568851415,16.2705738805274,0.843383466382806,2.45172357599347E-09,0.00116062487097679,91.436666813679,-6362518.45114191
-0.18,435.509613037109,435.509613037109,102.26837400347,0.00296917936623209,8.93743424763304E-05,16.2705738805274,1.72334955928934,3.13535368361584E-10,0.000303030126133308,91.4382769986987,-6362518.44766333
0.02,435.509613037109,435.509613037109,102.268941622227,0.000325534459769859,3.18112682690182E-05,16.2705738805274,174.389127800127,8.98348138109737E-12,1792.88896788889,91.4388434411958,-6362518.44942294
0.22,435.509613037109,435.509613037109,102.268253405578,0.0492415051604833,0.00277416688263649,16.3955630134509,176.766219835337,4.67510113120853E-12,1792.88399901352,91.4855830790475,-6362518.45380865
0.42,435.510345458984,435.510345458984,102.402261648327,1.26450915870603,0.0381070341114979,16.4208034234356,1.80810505082715,1.68312837050401E-06,0.12905384679766,91.7032426185906,-6362518.27689544
0.62,435.512756347656,435.512756347656,102.801151419058,2.59557834877956,0.0424666360188497,16.4462856538651,1.21815703052602,2.00819343279927E-05,0.264985653008694,92.3667511660606,-6362518.24862424
0.82,435.516906738281,435.516906738281,103.467684107833,3.94041557894565,0.0191566326236098,16.4719803337199,0.767041165965829,5.92710925089764E-05,0.402330874075801,93.4845880623907,-6362518.39146894
1.02,435.522796630859,435.522796630859,104.404322464019,5.29444954463656,0.0211661807421113,16.4978518197829,0.42789251399084,0.000119811354268485,0.540584955711552,95.0621445151046,-6362518.68119661
1.22,435.530456542969,435.530456542969,105.61190596316,6.64853465849588,0.0687681745254377,16.5238304990182,0.177375225070644,0.00020176459375375,0.678811986583355,97.0976241109893,-6362519.07255808
1.42,435.539886474609,435.539886474609,107.089882072061,7.99893202118011,0.119253244806382,16.5498890928297,0.0180781104093705,0.000304741971671255,0.816640219350688,99.5873607182875,-6362519.5286732
1.62,435.550994873047,435.550994873047,108.83763147518,9.34682667038967,0.171316337423141,16.5760301831417,0.167393272688997,0.000428542850053125,0.954198072340887,102.530316767283,-6362520.02811956
1.82,435.563934326172,435.563934326172,110.854449152946,10.6910443821947,0.222568935685,16.6022548467573,0.286675207269099,0.000572987742678592,1.09137408997901,105.923527214676,-6362520.53201627
2.02,435.578552246094,435.578552246094,113.139969863929,12.0367034006428,0.273110385419945,16.6285924408144,0.377387368368424,0.000738044670627629,1.22869406527457,109.771453818306,-6362521.03227478
2.22,435.594940185547,435.594940185547,115.695468670689,13.3925945241914,0.323601181198189,16.6551209290518,0.444490402983998,0.000924714038015537,1.36705620316195,114.087990574539,-6362521.5196701
2.42,435.613067626953,435.613067626953,118.523564054631,14.7629829701163,0.374656720298998,16.6818682588893,0.491140503509356,0.00113439231770879,1.50689566932954,118.886435097083,-6362521.99270752
2.62,435.632965087891,435.632965087891,121.626935825683,16.1459706092672,0.427276117954834,16.7088259627393,0.522128524317846,0.00136781138640401,1.64801650369395,124.172388572246,-6362522.45571246
2.82,435.654663085938,435.654663085938,125.007937741466,17.5395661753515,0.481936274973408,16.7359768694558,0.539407470180711,0.00162525440418729,1.79021412521229,129.949922158383,-6362522.90919531
3.02,435.678161621094,435.678161621094,128.668039338663,18.9380971750614,0.539720134067319,16.7632790269261,0.548677971729582,0.00190641388392092,1.93290589848868,136.2139703352,-6362523.3715929
3.22,435.703491210938,435.703491210938,132.607681403868,20.3371953505019,0.600962417794545,16.7907009872031,0.552988270865691,0.00221044270283954,2.0756441526155,142.957940350287,-6362523.85366329
