MET,THRUST,THRUSTAT,MAXTHRUST,MAXTHRUSTAT,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-2.82,0,0,0,0,93.5622553322464,1.81197604447271E-05,1.05142538625242E-05,0,36.3657573647212,1.79532255515328E-15,1.50678624777356E-06,92.8268310949206,-6362518.44270926
-2.62,0,0,0,0,93.5622554654256,2.62359694438479E-05,1.857848927703E-05,0,45.885255120291,1.925938156462E-15,1.89146476259339E-06,92.8268311992288,-6362518.44230196
-2.42,0,0,0,0,93.5622554654256,1.47862084286796E-05,1.01367859540054E-05,0,43.7569657051519,2.03434065084437E-15,1.09911854906386E-06,92.826831119135,-6362518.44314842
-2.22,0,0,0,0,93.5622553322464,1.81590929905155E-05,1.06183577452381E-05,0,36.6802883520169,1.78550822650368E-15,1.50410869537154E-06,92.826831095852,-6362518.44270184
-2.02,0,0,0,0,93.5622554654256,2.6237879213993E-05,1.85903913077878E-05,0,45.9179036927708,1.90531607242689E-15,1.89052138921397E-06,92.8268311982974,-6362518.44230152
-1.82,0,0,0,0,93.5622554654256,1.43304693325179E-05,9.46327804987787E-06,0,41.7872644292346,2.04085428823758E-15,1.09879943011038E-06,92.8268311172724,-6362518.44314793
-1.62,0,0,0,0,93.5622553322464,1.81105315003367E-05,1.05183122701823E-05,0,36.402343407941,1.79587515986665E-15,1.50533651321894E-06,92.8268310949206,-6362518.4427092
-1.42,0,0,0,0,93.5622554654256,2.62376508986896E-05,1.8585632657293E-05,0,45.9037530064471,1.92651706518813E-15,1.89097931979632E-06,92.8268312001601,-6362518.44230175
-1.22,0,0,0,0,93.5622554654256,1.47866437376953E-05,1.01337126601438E-05,0,43.7387925753121,2.03445454412454E-15,1.09947927739995E-06,92.826831119135,-6362518.4431485
-1.02,0,0,0,0,93.5622553322464,1.81599318568903E-05,1.06228153513954E-05,0,36.6957328440465,1.78604226658459E-15,1.50388666497747E-06,92.8268310967833,-6362518.44270177
-0.82,0,0,0,0,93.5622554654256,2.62371985133614E-05,1.8582275300814E-05,0,45.8941554544532,1.90470763408565E-15,1.89125682936719E-06,92.8268311982974,-6362518.44230172
-0.62,0,0,0,0,93.5622554654256,1.43300250694099E-05,9.47028072257187E-06,0,41.8264293861581,2.04118451344598E-15,1.09810594040027E-06,92.8268311182037,-6362518.44314788
-0.42,0,0,0,0,93.5622553322464,1.81121457266487E-05,1.05115212557858E-05,0,36.372345413205,1.79489595174001E-15,1.50603023030271E-06,92.8268310949206,-6362518.44270949
-0.22,0,0,0,0,93.5622554654256,2.62374312663155E-05,1.85912663285043E-05,0,45.9217672173319,1.9258619390235E-15,1.89036882147775E-06,92.8268311992288,-6362518.44230162
-0.02,0,0,0,0,93.5622554654256,1.4777384221966E-05,1.01321670016788E-05,0,43.7640477841801,2.03483965949968E-15,1.09832785710751E-06,92.826831119135,-6362518.44314863
0.18,0,0,0,0,93.6377312280238,1.7156120442756,0.0500091347543054,0,0.776956311056417,2.56924487095983E-07,0.175097867471095,93.7878674045205,-6362519.70802563
0.38,0,0,0,0,93.7652301769704,0.249512576557313,0.052284601725699,0,167.017735853471,4.21472708151561E-06,1792.86454169904,93.768268963322,-6362519.70766614
0.58,0,0,0,0,94.1275116503239,3.51282450157045,0.144223952849106,0,1.47137798964569,8.50109632278096E-06,0.358373807293106,94.7564330399036,-6362522.06244689
0.78,0,0,0,0,95.0181262986735,5.23023119972599,0.204273284295985,0,1.36188467196406,0.000110987492858928,0.533624215806867,96.4125504689291,-6362523.57696868
0.98,0,0,0,0,96.2529709991068,6.9557777973,0.264296040949281,0,1.30728541546279,0.00021804720458492,0.709705478602132,98.7194650638849,-6362525.0900477
1.18,0,0,0,0,97.8332262588665,8.68520279081755,0.324008243060075,0,1.27578741320306,0.000361472510936295,0.886183926766989,101.678890200332,-6362526.59485084
1.38,0,0,0,0,99.7593342568725,10.4158052045855,0.383083842611135,0,1.257106177101,0.000541184198590069,1.06278508624575,105.29046908766,-6362528.08413588
1.58,0,0,0,0,102.031621015631,12.149962603962,0.441209726891959,0,1.24723463308862,0.000757146307039384,1.23975318029818,109.558127992786,-6362529.55081978
1.78,0,0,0,0,104.651622835547,13.8947685558134,0.498115535364145,0,1.24484352182414,0.00101025909813253,1.4178140202373,114.495385089889,-6362530.98860997
1.98,0,0,0,0,107.621892678551,15.6530781912171,0.55337723128231,0,1.25060425543818,0.00130188042799635,1.59726084274143,120.115094576962,-6362532.38777299
2.18,0,0,0,0,110.94483802747,17.4208089703211,0.606350400267487,0,1.26639236167266,0.001632710210747,1.77767876517578,126.419744419865,-6362533.7332432
2.38,0,0,0,0,114.621503242292,19.190392602975,0.656205762191148,0,1.29466473731135,0.00200202640734683,1.95829731244112,133.400743358769,-6362535.00484882
2.58,0,0,0,0,118.651875544339,20.9595349568645,0.701982375027837,0,1.33777593258984,0.00240874836762978,2.13888512944425,141.054292792454,-6362536.1803148
2.78,0,0,0,0,123.036373353563,22.7330687168124,0.742509131974768,0,1.39806854391722,0.00285310502189642,2.31993936843003,149.391938121058,-6362537.23193242
2.98,0,0,0,0,127.776846910827,24.5188199783342,0.776267664816797,0,1.4785351627297,0.0033370412606019,2.50226360534384,158.437695033848,-6362538.12477933
3.18,0,0,0,0,132.875487040728,26.3129451321493,0.801173108362463,0,1.58361726079122,0.00386186341304909,2.68547022660584,168.19035609439,-6362538.81093717
3.38,0,0,0,0,138.333188703284,28.1079915128337,0.814577607971026,0,1.71917754061981,0.00442609419468262,2.86880341685219,178.634320590645,-6362539.22881803
3.58,0,0,0,0,144.149736296386,29.9010657875951,0.813249925772931,0,1.89292670433914,0.00502784582751805,3.051972856617,189.761368569918,-6362539.30439831
3.78,0,0,0,0,150.325371993706,31.6976741887034,0.793179735151185,0,2.11389696334842,0.00566743355740347,3.23554523663211,201.588806795888,-6362538.94443011
