TIME:SECONDS,ALTITUDE,GROUNDSPEED
182710257.000938,93.1407311586663,1.80936847751761E-05
182710257.200938,93.1407312629744,9.11264292425521E-06
182710257.400938,93.1407308271155,2.02928865688562E-05
182710257.600938,93.1407309258357,1.46524107009698E-05
182710257.800939,93.1407309547067,1.8462179526214E-05
182710258.000939,93.1407311121002,1.89544528023362E-05
182710258.200939,93.1407310087234,2.20321607010979E-05
182710258.400939,93.140731099993,1.48551771206431E-05
182710258.600939,93.1407309332863,1.53133428480987E-05
182710258.800939,93.1407309789211,1.96139716945796E-05
182710259.000939,93.1407309491187,1.83893160129579E-05
182710259.200939,93.140730981715,1.8900391154278E-05
182710259.400939,93.1407311856747,2.20531698834622E-05
182710259.60094,93.1407309202477,1.4076957465951E-05
182710259.80094,93.1407311018556,1.46624544964255E-05
182710260.00094,93.1407309221104,1.90778794034537E-05
182710260.20094,93.140730866231,2.15906920425655E-05
182710260.40094,93.1407311232761,1.55194374574094E-05
182710260.60094,93.1407311214134,1.98428984948554E-05
182710260.80094,93.1407308317721,1.61416557716104E-05
182710261.00094,93.211535518989,0.000800781345132253
182710261.20094,95.2048432026058,0.0188258185492724
182710261.400941,100.061860879883,0.196445350074863
182710261.600941,107.809529910795,0.715289205034542
182710261.800941,117.203454513103,1.01325323015012
182710262.000941,126.823347805999,1.39953035062607
182710262.200941,136.68210450653,1.8807526921043
182710262.400941,146.670996311121,2.57372340828635
182710262.600941,156.773292768747,3.51599554405882
182710262.800941,166.965940801427,4.73598237089529
182710263.000941,177.217305392958,6.250191784563
182710263.200941,187.485697505064,8.0639464907708
182710263.400942,197.719294935465,10.1631691312537
182710263.600942,207.856640341692,12.5164292998936
182710263.800942,217.828311879188,15.0670411067994
182710264.000942,227.5585450707,17.7419478846172
182710264.200942,236.968022863381,20.4918841324179
182710264.400942,245.977163647302,23.2591153567843
182710264.600942,254.507825212553,25.9644915533313
182710264.800942,262.48621460516,28.544165504013
182710265.000942,269.845206954516,30.9414741961883
182710265.200943,276.526280699298,33.1074916730518
182710265.400943,282.480467592366,35.0173792837875
182710265.600943,287.669334100559,36.650907055004
182710265.800943,292.065836210735,37.9992610747089
182710266.000943,295.654682205059,39.0615442268371
182710266.200943,298.433323715813,39.8445407215362
182710266.400943,300.413217270747,40.3650888591037
182710266.600943,301.621138374321,40.6500462212506
182710266.800943,302.098982081749,40.7390877366548
182710267.000944,301.902815333568,40.6806936807608
182710267.200944,301.10125600826,40.5297564926507
182710267.400944,299.773571450263,40.340688543194
182710267.600944,298.006908252835,40.1597286585286
182710267.800944,295.893996626139,40.0165577807474
182710268.000944,293.528879198246,39.9188300278389
182710268.200944,291.002697414719,39.8520842480988
182710268.400944,288.399388091639,39.7828998137627
182710268.600944,285.791459596716,39.6650520413858
182710268.800944,283.235300986096,39.4630585672812
182710269.000945,280.76701579988,39.1465909603291
182710269.200945,278.399111082777,38.7125013767066
182710269.400945,276.11903254129,38.1810082574464
182710269.600945,273.885289229453,37.6086010015898
182710269.800945,271.628142244183,37.0881068313469
182710270.000945,269.25083118584,36.7412649948996
182710270.200945,266.634915863164,36.6771375557759
182710270.400945,263.649540570565,36.9410384493306
182710270.600945,260.165217238478,37.476640809583
182710270.800946,256.066272542812,38.1168967742834
182710271.000946,251.26501667127,38.6258076685283
182710271.200946,245.717034699395,38.7841623656554
182710271.400946,239.429813043214,38.4878246646174
182710271.600946,232.463346651755,37.8082508948052
182710271.800946,224.916532342322,36.9414143506502
182710272.000946,216.912635942921,36.1181676000212
182710272.200946,208.588025747798,35.4720875073537
182710272.400946,200.075989067554,35.0382562897014
182710272.600947,191.487886155955,34.7761728282775
182710272.800947,182.899132813327,34.607697901759
182710273.000947,174.349153019488,34.4857995728184
182710273.200947,165.830617439002,34.410696764847
182710273.400947,157.292070258409,34.4464707100701
182710273.600947,148.64346589148,34.6860475048447
182710273.800947,139.764828622341,35.2088932884018
182710274.000947,130.52466027718,35.9974917038372
182710274.200947,120.794568455778,36.8145597192936
182710274.400947,110.466752530076,37.2464296456875
182710274.600948,99.4846867136657,36.9332038274665
182710274.800948,87.8656603712589,35.8595991502554
182710275.000948,75.6943251434714,34.3757480825775
