MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-6.96,0,0,103.637482459657,0.00315532917816261,3.24850034316021E-06,0,89.9810254073985,0.0408425029911883,6.00338527543083E-11,0.000322174267580522,92.8079677252099,-6362518.44178331
-6.92,0,0,103.637483287603,0.00317079218384975,2.89214482803951E-06,0,89.9810337150232,0.0391857665792794,6.00616492474413E-11,0.000323753151747042,92.8079680735245,-6362518.44167102
-6.86,0,0,103.637480869889,0.00315155402131232,9.60269526979224E-06,0,89.9810241632385,0.181675779468233,6.00819484463369E-11,0.000321787477787439,92.807967742905,-6362518.44129918
-6.82,0,0,103.637481620535,0.00315233561351706,5.27821351198938E-06,0,89.9810233948292,0.079960012877382,6.01359753345215E-11,0.000321868327546326,92.8079678956419,-6362518.44168409
-6.76,0,0,103.637481161393,0.0031453989282874,3.51732638207389E-06,0,89.9810303750173,0.045907404343732,6.01542994525727E-11,0.000321160308317303,92.8079677512869,-6362518.4417908
-6.72,0,0,103.637481254525,0.0031439980492068,1.16457374912601E-05,0,89.9810172496153,0.206130985549103,6.0034602112435E-11,0.00032101527051509,92.8079677028582,-6362518.44136896
-6.66,0,0,103.637481288053,0.00314968475051451,1.6990482411183E-05,0,89.9810327564539,0.302647999110012,5.99292507908758E-11,0.000321593437547563,92.8079678053036,-6362518.44122107
-6.62,0,0,103.637481150217,0.00315482324109497,1.83691857309962E-05,0,89.9810292436703,0.323080916845566,5.98825050182877E-11,0.000322117313999115,92.8079680204391,-6362518.44133017
-6.56,0,0,103.637481128797,0.00314550917408795,3.5170262639886E-06,0,89.9810238916374,0.0822816940265881,5.99166179095997E-11,0.000321171564792166,92.8079679608345,-6362518.44167616
-6.52,0,0,103.637481285259,0.00315346645669006,3.30938313571923E-06,0,89.9810274042754,0.0666942599582259,5.99320470019232E-11,0.0003219840652946,92.8079678239301,-6362518.44180393
-6.46,0,0,103.637481191196,0.00314677682159779,1.4043692005856E-05,0,89.9810264645809,0.237147651109316,5.99839985343431E-11,0.000321297999789749,92.8079677689821,-6362518.44184568
-6.42,0,0,103.637481422164,0.00315223853088114,1.72532519029564E-05,0,89.981033715004,0.300933411870457,6.00003161601247E-11,0.000321854047115266,92.8079677708447,-6362518.44144513
-6.36,0,0,103.637481634505,0.003164909218517,6.15154516347414E-06,0,89.9810190973198,0.106051901440264,6.00422297506586E-11,0.000323151990414772,92.8079681480303,-6362518.4415225
-6.32,0,0,103.637482234277,0.00314421214840043,4.97099635239975E-06,0,89.9810210740602,0.108905812062675,6.01614036031243E-11,0.000321038929087081,92.80796795059,-6362518.44155449
-6.26,0,0,103.637481491081,0.00315265916869065,1.09826568058688E-05,0,89.9810247375876,0.180761663001118,6.01164282771119E-11,0.000321899859159203,92.8079678304493,-6362518.44185101
-6.22,0,0,103.637481688522,0.00316244198635459,1.5942445110933E-05,0,89.9810238916374,0.273655090470868,6.01353017170589E-11,0.000322896582133581,92.8079679785296,-6362518.44158805
-6.16,0,0,103.637481731363,0.00314056758307492,8.25167521041705E-06,0,89.9810233948484,0.155914973776013,6.01669586444611E-11,0.000320666101742972,92.8079680204391,-6362518.44136153
-6.12,0,0,103.637481920421,0.00315881394170966,1.04464052092903E-05,0,89.981038316942,0.207840492700147,6.00819837312983E-11,0.000322528483025053,92.807968094945,-6362518.44161157
-6.06,0,0,103.637480739504,0.00315110749627191,7.95716815034984E-06,0,89.9810233948292,0.137291821336078,6.00929566760562E-11,0.000321742357073163,92.8079675799236,-6362518.44149565
-6.02,0,0,103.63748066593,0.00315419483237661,1.22989316642767E-05,0,89.9810258580053,0.204966366011769,6.00832443974684E-11,0.000322056167533447,92.8079675361514,-6362518.44181452
-5.96,0,0,103.637481733225,0.00316287826356793,1.49890783121091E-05,0,89.9810247375876,0.256641291292566,6.00272613353534E-11,0.000322941609397276,92.8079678742215,-6362518.44158013
-5.92,0,0,103.637481622398,0.00314867381859012,1.15499826060827E-05,0,89.9810233948484,0.200690284862296,6.01239545754972E-11,0.000321492724879135,92.8079681014642,-6362518.44144535
-5.86,0,0,103.637481492944,0.0031460256806012,6.01571008793059E-06,0,89.9810292436895,0.128426253975896,6.0168744693947E-11,0.000321223915534574,92.8079680046067,-6362518.44156009
-5.82,0,0,103.637481189333,0.00314600796003768,8.83270981045536E-06,0,89.9810247375492,0.170883154688248,6.00836530400927E-11,0.000321221427498131,92.8079678053036,-6362518.44132843
-5.76,0,0,103.637480913661,0.00314811905892212,1.40151781826754E-05,0,89.9810281915776,0.238814958246829,5.99878776540051E-11,0.000321435062573983,92.8079677848145,-6362518.44166008
-5.72,0,0,103.637481489219,0.0031531452490579,8.57662475026675E-06,0,89.9810233948484,0.138362082406837,5.99131241597838E-11,0.000321950253237446,92.8079680940136,-6362518.44172661
-5.66,0,0,103.637481677346,0.00315078171641765,2.63727847447099E-06,0,89.9810192141622,0.0291461879862865,5.98808626052577E-11,0.000321710007824549,92.8079681219533,-6362518.44173479
-5.62,0,0,103.63748076465,0.00313800785262939,7.757003643476E-06,0,89.9810292436895,0.157620788586081,5.99465455988969E-11,0.00032040486621554,92.8079678602517,-6362518.44141378
-5.56,0,0,103.637481530197,0.00317325897705903,1.79145119911359E-05,0,89.9810273654519,0.329332055211156,5.99272658815131E-11,0.000323999991337587,92.8079671226442,-6362518.44224358
