MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-6.94,0,0,102.113493052311,0.00315695152570837,1.12474611275753E-05,0,0.194249403696804,5.83594448561178E-11,0.000322337883517321,91.2885325532407,-6362518.45145873
-6.74,0,0,102.113494263031,0.00314890153790648,8.64304409514828E-06,0,0.157004538184699,5.85277787513462E-11,0.000321516774533848,91.2885333411396,-6362518.45098379
-6.54,0,0,102.113494184799,0.00315695604059151,7.80098813108854E-06,0,0.136151180083622,5.8241847276208E-11,0.000322339410672612,91.2885328242555,-6362518.45116093
-6.34,0,0,102.113492543809,0.00314835203647681,4.99345170891573E-06,0,0.0868990787614551,5.80940348228211E-11,0.000321461475778051,91.2885324563831,-6362518.45110103
-6.14,0,0,102.113493683748,0.00315840643147524,7.19386169485899E-06,0,0.124480152889895,5.8393346341976E-11,0.000322487645576075,91.2885326212272,-6362518.45117424
-5.94,0,0,102.113494063728,0.00316406402567745,6.76546557618865E-06,0,0.113546311037226,5.84854757670847E-11,0.000323065407656031,91.2885327488184,-6362518.45126639
-5.74,0,0,102.113493209705,0.00315312590921056,2.05474786275166E-05,0,0.369405402225654,5.81178860363086E-11,0.00032194248160522,91.2885323567316,-6362518.45116063
-5.54,0,0,102.113493165001,0.00314713592492146,4.03860183871426E-06,0,0.0689495216993165,5.83969250953877E-11,0.000321337444233905,91.2885327152908,-6362518.45110786
-5.34,0,0,102.113493936136,0.0031646132268767,1.34631947325993E-06,0,0.0143948092031452,5.81639883370168E-11,0.000323122197301018,91.2885324507952,-6362518.45111981
-5.14,0,0,102.113495144062,0.00316766043482164,1.3479028677376E-05,0,0.235162135810185,5.85829019730074E-11,0.000323430437447314,91.2885338496417,-6362518.45143155
-4.94,0,0,102.113493866287,0.00315738514066778,3.36349002364476E-05,0,0.610375595590191,5.77669385394011E-11,0.000322365914371403,91.2885331353173,-6362518.45066703
-4.74,0,0,102.113494027406,0.00316397422831111,1.62862555670508E-06,0,0.0351231164347039,5.78675906151869E-11,0.000323056940828792,91.2885324554518,-6362518.45106155
-4.54,0,0,102.113494722173,0.00316726540343176,1.52980155624945E-05,0,0.26744177007635,5.85816846331294E-11,0.000323389254958784,91.2885336503387,-6362518.45153807
-4.34,0,0,102.113495060243,0.00316675887756736,1.78265097255987E-05,0,0.317708947761369,5.8108480779911E-11,0.000323336188557732,91.2885335637257,-6362518.45121709
-4.14,0,0,102.113494479097,0.0031393202981817,1.40574415311052E-05,0,0.258613009774902,5.82586032075886E-11,0.000320536483172873,91.2885336130857,-6362518.45080049
-3.94,0,0,102.113493899815,0.00315943852916709,7.51442382152914E-06,0,0.134197745028524,5.77329382487121E-11,0.000322592952215928,91.2885326370597,-6362518.45105127
-3.74,0,0,102.113494385965,0.00316941549336402,1.35390317351317E-05,0,0.24571159937417,5.83330715488651E-11,0.000323609606766695,91.2885324787349,-6362518.45086555
-3.54,0,0,102.113493373618,0.00315318315452941,1.63121798722697E-05,0,0.298938258753512,5.85357199370345E-11,0.000321950853503949,91.2885328885168,-6362518.45111904
-3.34,0,0,102.113494421355,0.00317091817911392,1.70805098870795E-05,0,0.302781099802563,5.84273486018638E-11,0.000323761296954217,91.2885335190222,-6362518.45129033
-3.14,0,0,102.113494691439,0.00315885036273292,3.46514420729826E-06,0,0.0532989467984907,5.82069522368105E-11,0.00032253361655421,91.2885333038867,-6362518.45118471
-2.94,0,0,102.113492431119,0.00310928880964269,7.89617532690022E-06,0,0.155066836932016,5.82416891376595E-11,0.000317472317419742,91.2885323679075,-6362518.45082086
-2.74,0,0,102.113492277451,0.00315713892990948,1.31810682300134E-05,0,0.235290654846233,5.80100818013018E-11,0.000322356252809186,91.2885325951502,-6362518.45112954
-2.54,0,0,102.113491942175,0.00311513176250642,1.55217996729315E-05,0,0.28751820590415,5.84136029118118E-11,0.000318065983151428,91.2885322989896,-6362518.45077236
-2.34,0,0,102.113492794335,0.00314916852641017,5.95451338830351E-06,0,0.105057328371768,5.81235294752668E-11,0.000321544676808116,91.2885324545205,-6362518.45108756
-2.14,0,0,102.113493891433,0.00315673164125786,9.69316806654433E-06,0,0.166959143978601,5.83862790173873E-11,0.000322315960715969,91.2885328317061,-6362518.45134942
-1.94,0,0,102.113491438329,0.00312552988983366,6.13169081596308E-06,0,0.122735888629906,5.82569959256245E-11,0.000319131019750785,91.2885319301859,-6362518.45082254
-1.74,0,0,102.113494118676,0.00312050977897239,4.62658845674876E-06,0,0.0856954604725949,5.83174931031262E-11,0.000318618700930529,91.2885334305465,-6362518.45112573
-1.54,0,0,102.113494256511,0.00316425887232224,1.24496423830558E-05,0,0.215939812558386,5.80678721431344E-11,0.000323083544572,91.2885336298496,-6362518.45146647
-1.34,0,0,102.113493571058,0.00314070576541921,1.00904554010098E-05,0,0.184247806644963,5.79416958048141E-11,0.000320679504284271,91.2885322663933,-6362518.45095062
-1.14,0,0,102.113493569195,0.00313503913962094,1.86818620701979E-05,0,0.341526437656484,5.84883871121123E-11,0.000320096887776344,91.2885327320546,-6362518.45130567
-0.94,0,0,102.113494063728,0.00316148097594282,8.73399084978792E-06,0,0.151479989125109,5.8263378221832E-11,0.000322801173751941,91.2885327264667,-6362518.45122624
-0.74,0,0,102.113493717276,0.00316901992368404,1.34065794931622E-05,0,0.243373271980677,5.83090585909803E-11,0.000323569275337832,91.2885324666277,-6362518.45086613
-0.54,0,0,102.113493222743,0.00315290521418513,1.55275765639408E-05,0,0.284861657663223,5.85294913029444E-11,0.000321922876878489,91.2885328959674,-6362518.45110737
-0.34,0,0,102.113494622521,0.00317210876167709,1.88438147635145E-05,0,0.334683352476172,5.84255003011108E-11,0.000323881839449314,91.2885329704732,-6362518.45129783
-0.14,0,0,102.113493498415,0.00316128590295023,1.93343745079999E-05,0,0.347107557592113,5.84199742132345E-11,0.000322776454936502,91.2885334538296,-6362518.45110178
0.06,0,0,102.113493619487,0.00313379248189998,1.60997915383664E-05,0,0.296244765718772,5.78588470793678E-11,0.000319971056228496,91.2885328177363,-6362518.45076886
0.26,0,0,102.113493324257,0.00315712998436984,4.71311156964328E-06,0,0.0771985481011627,5.79524592602556E-11,0.000322357794289019,91.2885325988755,-6362518.451193
0.46,0,0,102.113493398763,0.00317015968055314,2.06427103325017E-05,0,0.367326434909626,5.84439557717137E-11,0.000323681682971255,91.2885329313576,-6362518.4513264
0.66,0,0,102.113494542427,0.00314444783491962,2.27274648260076E-05,0,0.415511999225041,5.8274788356728E-11,0.000321054861615266,91.2885333728045,-6362518.45068227
