MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,PITCH,AoA,Q,MASS,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-4.96,0,0,103.750612575561,0.00245775504214773,6.07363626759271E-05,0,89.8163010354901,1.2337024681694,3.40962469939411E-11,51.0678825378418,0.000250871875209668,90.0473137646914,-6362518.45538517
-4.86,0,0,103.750610303134,0.00241819051156074,4.89663818663595E-05,0,89.8162955647314,0.978396337108275,3.41496497961787E-11,51.0678825378418,0.000246858159243857,90.0473137553781,-6362518.45587641
-4.76,0,0,103.750614470802,0.00242839027369874,5.28803506939035E-05,0,89.8163011583714,1.06830763090674,3.4637703272972E-11,51.0678825378418,0.000247891429808078,90.0473149875179,-6362518.45579627
-4.66,0,0,103.750616166741,0.00242158351570215,5.34772653139972E-05,0,89.8162935563011,1.08182682680807,3.44644607065598E-11,51.0678825378418,0.000247194929102079,90.0473148208112,-6362518.45568832
-4.56,0,0,103.750612410717,0.00240147617082396,5.199760865971E-05,0,89.8162925136424,1.05728999185988,3.42369668071149E-11,51.0678825378418,0.000245144681457532,90.0473152427003,-6362518.45574846
-4.46,0,0,103.750611778349,0.00241255926332896,5.80915253437071E-05,0,89.8162935562991,1.19606851491909,3.40133909233267E-11,51.0678825378418,0.00024626238541714,90.0473139816895,-6362518.45549886
-4.36,0,0,103.75061065238,0.00247256003111658,5.53895258704034E-05,0,89.8162934334189,1.10256000036481,3.37997249915908E-11,51.0678825378418,0.000252396817586487,90.0473137972876,-6362518.45567115
-4.26,0,0,103.750612697564,0.00238966090872165,5.29444297039391E-05,0,89.8163085146681,1.08807735989581,3.41181164816781E-11,51.0678825378418,0.000243935877961121,90.0473134722561,-6362518.45571284
-4.16,0,0,103.750610930845,0.00237102062430913,5.70883649439654E-05,0,89.8163039637501,1.19787290250525,3.44303257685871E-11,51.0678825378418,0.000242022332599845,90.0473137358204,-6362518.4555391
-4.06,0,0,103.75061185658,0.00244243392008938,4.32476881508109E-05,0,89.8162988444351,0.834302715497696,3.42751704156112E-11,51.0678825378418,0.000249345054953665,90.0473138866946,-6362518.45617054
