MET,THRUST,THRUSTAT,MAXTHRUST,MAXTHRUSTAT,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-2.94,0,0,0,0,93.1301710521802,0.000879913391100812,4.56299270360103E-05,0,2.97537676966654,4.83709571140926E-12,8.97225231710763E-05,91.9441332491115,-6362518.44616067
-2.9,0,0,0,0,93.1301714098081,0.000913464322692552,4.43310680879857E-05,0,2.78660198167851,4.82604894096402E-12,9.31592200004161E-05,91.9441333254799,-6362518.44585007
-2.84,0,0,0,0,93.1301714098081,0.000895111769648012,2.24805994790276E-05,0,1.44469846942007,4.90809143792115E-12,9.13664089239319E-05,91.9441337380558,-6362518.44629165
-2.8,0,0,0,0,93.1301712812856,0.000903855812687011,4.4651796906162E-05,0,2.83543359775393,4.88151521117774E-12,9.21753608054132E-05,91.9441329874098,-6362518.44602368
-2.74,0,0,0,0,93.1301714098081,0.000911931617404457,5.8849520464859E-05,0,3.70526034245005,4.9481369296003E-12,9.29185421227885E-05,91.9441339168698,-6362518.4454552
-2.7,0,0,0,0,93.1301712812856,0.000868037549497015,3.425181546241E-05,0,2.26604786741788,4.96820240510281E-12,8.85617997710142E-05,91.9441329855472,-6362518.44611262
-2.64,0,0,0,0,93.1301714098081,0.000885731039741291,3.07203132243805E-05,0,1.99210421384476,4.90530356404068E-12,9.03830061815825E-05,91.9441335974261,-6362518.44620521
-2.6,0,0,0,0,93.1301715392619,0.000905712939896088,5.86285931950122E-05,0,3.71598310013873,4.92888122432896E-12,9.22837127745879E-05,91.944133981131,-6362518.44560872
-2.54,0,0,0,0,93.1301711816341,0.000942776012763676,3.03011361135748E-05,0,1.84737761851634,4.8711444110333E-12,9.62122538794574E-05,91.9441338162869,-6362518.44609894
-2.5,0,0,0,0,93.1301714098081,0.000928414906630833,4.46233887812871E-05,0,2.76043308489993,4.88792026310403E-12,9.46860858448417E-05,91.944133978337,-6362518.44575037
-2.44,0,0,0,0,93.1301714098081,0.000924896040657238,3.35551604599585E-05,0,2.08286474730957,4.88737792836064E-12,9.43741849823709E-05,91.9441339140758,-6362518.4462366
-2.4,0,0,0,0,93.1301714098081,0.000885797042899424,3.7674096697623E-05,0,2.44053922035798,4.90875268740584E-12,9.03623138128751E-05,91.9441337091848,-6362518.44626784
-2.34,0,0,0,0,93.1301712812856,0.000883539009771887,2.52056307625703E-05,0,1.64000645559313,4.92769614167598E-12,9.01768835319672E-05,91.9441337045282,-6362518.44625254
-2.3,0,0,0,0,93.1301711816341,0.000899815573773484,3.61539874670569E-05,0,2.30762044580968,4.89637918656515E-12,9.1801323492291E-05,91.9441337585449,-6362518.44603615
