TIME,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,APOAPSIS,PERIAPSIS
-6.9,0,0,100.830427422188,0.00315969301768421,3.74622731232756E-06,0,0.0654139868824485,5.57056221896837E-11,89.9943158971146,-6362518.45826797
-6.7,0,0,100.830427266657,0.0031654713932182,7.46406868510748E-06,0,0.137249228741622,5.51103099809654E-11,89.9943152032793,-6362518.4579954
-6.5,0,0,100.830428034067,0.003143026233895,3.42344126484278E-06,0,0.0659645216834853,5.57268882008137E-11,89.9943159893155,-6362518.45807555
-6.3,0,0,100.830426887609,0.00314640326749135,1.34798285277334E-05,0,0.243316738804091,5.52433753289959E-11,89.9943148968741,-6362518.45849707
-6.1,0,0,100.830427821726,0.00313710111326314,1.37868293238046E-06,0,0.0298229652079883,5.55714558481857E-11,89.9943157667294,-6362518.45812806
-5.9,0,0,100.830427917652,0.00316140849971996,1.08815987804039E-05,0,0.202010323491679,5.53954491473435E-11,89.9943151064217,-6362518.4581412
-5.7,0,0,100.830428180285,0.00314756317372214,4.93218896308458E-06,0,0.0869417736312309,5.5704000335244E-11,89.9943157872185,-6362518.45814984
-5.5,0,0,100.830427020788,0.00316664594359834,4.76897018666036E-06,0,0.081862332933174,5.53302810809766E-11,89.9943152843043,-6362518.4583205
-5.3,0,0,100.83042747993,0.00314618631178149,4.2370587458254E-06,0,0.0806294271523934,5.56423291176648E-11,89.9943158300594,-6362518.45805333
-5.1,0,0,100.830426590517,0.00316459720476366,5.32023379218112E-06,0,0.0948744262748398,5.50718984898479E-11,89.9943150561303,-6362518.458118
-4.9,0,0,100.830427618697,0.00314035943132709,1.97953418515879E-05,0,0.359754626994028,5.53607685776324E-11,89.9943159306422,-6362518.4579567
-4.7,0,0,100.830427866429,0.00317847651224948,5.81647110154884E-06,0,0.102822232304797,5.53830851413887E-11,89.9943159623072,-6362518.45812618
-4.5,0,0,100.830427348614,0.00315972619580243,2.89838662490454E-06,0,0.0589851495281398,5.54206045925868E-11,89.9943153141066,-6362518.45814234
-4.3,0,0,100.830428387038,0.00315105496789457,3.73122303906614E-06,0,0.077389541382121,5.57671683259455E-11,89.9943161113188,-6362518.45800928
-4.1,0,0,100.830427300185,0.00316615774672522,5.46837101665424E-06,0,0.0985420926914474,5.50568445576909E-11,89.994315257296,-6362518.45809464
-3.9,0,0,100.830428224988,0.00314921442188146,3.63487232092165E-06,0,0.0763560569497576,5.57850597120977E-11,89.9943160526454,-6362518.45804005
-3.7,0,0,100.83042754326,0.00314534403603846,6.45466805944659E-06,0,0.11415415673586,5.51145060190802E-11,89.9943151623011,-6362518.45835426
-3.5,0,0,100.830427461304,0.00314111402568681,8.4116987393754E-06,0,0.155653025091817,5.56257780950563E-11,89.9943158961833,-6362518.45824266
-3.3,0,0,100.830428003334,0.00314319315369882,1.17539736163746E-05,0,0.212421794144695,5.51493087905197E-11,89.9943149751052,-6362518.45844339
-3.1,0,0,100.830427750014,0.00316909830715385,3.12701361727861E-06,0,0.0471987567846396,5.56974044053327E-11,89.9943151455373,-6362518.45829484
-2.9,435.500305175781,435.500305175781,100.830427459441,0.00313870840567088,1.26951255549338E-05,16.2811746471626,0.232964394763017,5.54919727112627E-11,89.9943157434464,-6362518.45791109
-2.7,435.500305175781,435.500305175781,100.830428674817,0.00316022563785265,5.89411526766014E-06,16.2811746471626,0.115180699386808,5.56559427652703E-11,89.9943169811741,-6362518.458049
-2.5,435.500305175781,435.500305175781,100.830429684371,0.00317285338021915,1.02413871889868E-05,16.2811746471626,0.180779374704923,5.5425534990212E-11,89.9943173946813,-6362518.45817848
-2.3,435.500305175781,435.500305175781,100.830431649461,0.00317089301985124,1.17713419663245E-05,16.2811746471626,0.209648586496541,5.57639113734253E-11,89.9943195972592,-6362518.45812249
-2.1,435.500305175781,435.500305175781,100.830435432494,0.00317939948962567,1.72826392668402E-06,16.2811746471626,0.0400855566413255,5.62413104824342E-11,89.9943236885592,-6362518.45809418
-1.9,435.500305175781,435.500305175781,100.830439482816,0.00318150328667883,1.53378045813122E-06,16.2811746471626,0.0196777213271135,5.61524530187901E-11,89.9943281859159,-6362518.45820029
-1.7,435.500305175781,435.500305175781,100.830448891036,0.00321645586079303,1.1458497703256E-05,16.2811746471626,0.200311532618807,5.63262173451547E-11,89.9943359913304,-6362518.45816078
-1.5,435.500305175781,435.500305175781,100.830460323021,0.00321750620249449,1.21118784836925E-05,16.2811746471626,0.217220759857472,5.72092875189402E-11,89.9943477995694,-6362518.45790949
-1.3,435.500305175781,435.500305175781,100.830476655625,0.0032308418308212,9.62920846358785E-06,16.2811746471626,0.172150879154041,5.76838760406616E-11,89.9943649508059,-6362518.45796862
-1.1,435.500305175781,435.500305175781,100.830503827892,0.00329508126951563,5.86344611241359E-06,16.2811746471626,0.0915529183778142,5.88804725057748E-11,89.9943914525211,-6362518.45838717
-0.9,435.500305175781,435.500305175781,100.830545458943,0.0033566728514955,4.48767672905845E-06,16.2811746471626,0.0805309154646705,6.1175020918532E-11,89.9944310663268,-6362518.4580394
-0.7,435.500335693359,435.500335693359,100.834276548587,0.0526027603974736,0.00114828886555635,16.281175788062,1.24194407586639,1.49559139457155E-09,89.9982761340216,-6362518.5057027
-0.5,435.500366210938,435.500366210938,100.840131754056,0.0234180700291081,0.000882659760949746,16.2811769289613,2.16954315421706,5.86379598738906E-09,90.0039748251438,-6362518.42136056
-0.3,435.500396728516,435.500396728516,100.843016155064,0.00787118420255977,8.74481651646003E-05,16.2811780698607,0.646478191908033,1.21910806140483E-09,90.0068128686398,-6362518.45447883
