MET,THRUST,MAXTHRUST,ALTITUDE,SPEED,GROUNDSPEED,ACCELERATION,AoA,Q,ETA:APOAPSIS,APOAPSIS,PERIAPSIS
-6.86,0,0,102.228479186073,1.06133878313034E-05,6.0862548185861E-06,0,145.010600060154,4.75722261333583E-16,1792.8889849578,91.4034883920103,-6362518.44994194
-6.66,0,0,102.228477749974,1.04718188456122E-05,5.34236990424416E-06,0,149.32551254599,2.41572305748673E-16,1792.88898493995,91.4034882532433,-6362518.44990869
-6.46,0,0,102.228479642421,7.89294420212607E-06,6.22884720917666E-06,0,127.89316190449,5.02606976960006E-16,1792.88898534052,91.4034883268178,-6362518.44996585
-6.26,0,0,102.228479616344,5.93929151314866E-06,1.90715503200498E-06,0,161.271961582727,5.74153810923867E-16,1792.8889853423,91.4034882793203,-6362518.44977337
-6.06,0,0,102.228479616344,6.52509788866151E-06,5.0535817652344E-06,0,129.242665647473,5.47267291738306E-16,1792.88898543259,91.4034883715212,-6362518.44992187
-5.86,0,0,102.228480072692,9.05675886243811E-06,4.32990600264959E-06,0,151.440001728517,2.51691479727335E-16,1792.88898506228,91.4034883147106,-6362518.44987334
-5.66,0,0,102.228480072692,8.79547988407511E-06,3.74413530688079E-06,0,154.807516456017,5.08144460241703E-16,1792.88898506713,91.4034883845598,-6362518.44986092
-5.46,0,0,102.228479186073,3.78003187066513E-06,2.4056215115578E-06,0,140.476729173527,5.39132559720387E-16,1792.8889856024,91.4034885773435,-6362518.4498128
-5.26,0,0,102.228479186073,6.26034612559017E-06,4.68814062096732E-06,0,131.509907322857,5.40658938696333E-16,1792.888985449,91.4034883575514,-6362518.44987779
-5.06,0,0,102.228477749974,4.3704287893571E-06,2.65851590178175E-06,0,142.533392743569,7.81961826873919E-16,1792.88898555499,91.4034883696586,-6362518.44979109
-4.86,0,0,102.228479186073,7.3579209702967E-06,2.47710281841575E-06,0,160.326237111885,2.94553058988603E-16,1792.88898520794,91.4034883184358,-6362518.44977636
-4.66,0,0,102.228479616344,9.23914786606623E-06,3.82167505777074E-06,0,155.568223087432,4.72837924319083E-16,1792.88898502665,91.403488278389,-6362518.44984711
-4.46,0,0,102.228479186073,7.31039992375366E-06,3.43835061825753E-06,0,151.944327250985,4.48165592512612E-16,1792.88898522828,91.4034882932901,-6362518.44984366
-4.26,0,0,102.228478754871,5.65932090236496E-06,3.23006001865716E-06,0,145.198143071065,5.76166335764523E-16,1792.88898541259,91.4034883324057,-6362518.44984351
-4.06,0,0,102.228477749974,6.57485577297401E-06,5.25958934711887E-06,0,126.874684739103,7.7358058854122E-16,1792.88898545627,91.4034883603454,-6362518.44990987
-3.86,0,0,102.228479186073,1.16670602705867E-05,8.50601151349681E-06,0,133.193028187967,4.85236931176687E-16,1792.88898517247,91.4034881154075,-6362518.44960427
-3.66,0,0,102.228480098769,6.18569632151666E-06,5.28801082811443E-06,0,121.254462533257,1.27417278737049E-16,1792.88898565226,91.4034881936386,-6362518.44962304
-3.46,0,0,102.228479642421,8.01396127365689E-06,3.14129218710114E-06,0,156.922636276756,4.61596357812719E-16,1792.88898514289,91.4034882895648,-6362518.44982305
-3.26,0,0,102.228478637524,1.12625662653515E-05,5.91149268168736E-06,0,148.341643224835,2.67913945831314E-16,1792.88898486718,91.4034884339198,-6362518.44994103
-3.06,0,0,102.228480098769,6.17414743899961E-06,3.68178363429446E-06,0,143.393729347002,4.59148134866187E-16,1792.88898537401,91.40348841995,-6362518.44986021
-2.86,435.509368896484,435.509368896484,102.228480072692,5.66973921683707E-06,5.65696598401631E-06,16.2625235748269,86.1539448906521,9.79834969564963E-16,3.88345142710023E-08,91.4034883491695,-6362518.44993275
-2.66,435.509368896484,435.509368896484,102.228480072692,1.91227133048264E-05,2.00406682709776E-06,16.2625235748269,173.985940113407,8.13424084443474E-16,1792.88898399047,91.403489488177,-6362518.44973751
-2.46,435.509368896484,435.509368896484,102.228481939994,5.66494134931647E-06,5.49371646747878E-06,16.2625235748269,75.876906539026,5.44095928398194E-16,1.41133227771206E-07,91.4034907631576,-6362518.44953825
-2.26,435.509368896484,435.509368896484,102.228483832441,1.18221395592645E-05,9.57706395523075E-06,16.2625235748269,54.1034213890435,1.13325522287333E-15,7.07717845216393E-07,91.4034930998459,-6362518.44950885
-2.06,435.509368896484,435.509368896484,102.22848704271,1.71343011166209E-05,8.44058547344275E-06,16.2625235748269,29.5130149018597,2.23467506414419E-15,1.52249833718088E-06,91.4034968782216,-6362518.45002803
-1.86,435.509368896484,435.509368896484,102.228494470008,3.25906754038911E-05,4.85167972413375E-06,16.2625235748269,8.5629847794938,4.55445872653951E-15,3.2905884381762E-06,91.4035025574267,-6362518.44978243
-1.66,435.509368896484,435.509368896484,102.228501439095,4.61105727665197E-05,3.26319341552132E-06,16.2625235748269,4.05979948580352,7.50188140416536E-15,4.69630913357832E-06,91.4035106357187,-6362518.44984993
-1.46,435.509368896484,435.509368896484,102.228513394482,7.36719892939267E-05,7.79706657688166E-06,16.2625235748269,6.07375267864838,1.97515406050046E-14,7.48001673400722E-06,91.4035226516426,-6362518.44939757
-1.26,435.509368896484,435.509368896484,102.228533298709,0.000113675084617267,1.22472226547908E-05,16.2625235748269,6.18318597006585,5.03456615156474E-14,1.15392115276336E-05,91.4035421600565,-6362518.44951511
-1.06,435.509368896484,435.509368896484,102.228563930839,0.000186731800327934,2.48125744123695E-06,16.2625235748269,0.762917317100761,1.10590422428947E-13,1.90645312159177E-05,91.4035710813478,-6362518.44973393
-0.86,435.509368896484,435.509368896484,102.228606402874,0.000273028564548177,1.59564617076712E-05,16.2625235748269,3.35008345310183,2.55271027690923E-13,2.78298831517532E-05,91.4036146532744,-6362518.44916462
-0.66,435.509399414063,435.509399414063,102.234106203541,0.0396041930645695,0.00135754019383358,16.2625247143956,1.96667818972666,2.99253572048203E-09,0.00404140235184514,91.4091006917879,-6362518.45560004
-0.46,435.509429931641,435.509429931641,102.239208487794,0.0200624172828141,0.00024137083930177,16.2625258539643,0.686996496078217,4.11216890709302E-09,0.00204832110068764,91.414058660157,-6362518.44218333
-0.26,435.509460449219,435.509460449219,102.241647495888,0.00780866794922014,6.51060037968037E-05,16.2625269935329,0.475804894409111,9.83116826908513E-10,0.000797274863998609,91.4164395611733,-6362518.45015164
-0.06,435.509460449219,435.509460449219,102.242560877465,0.00272964299374464,9.02920717762017E-05,16.2625269935329,1.8979921468472,1.40700922635847E-10,0.000278557163937876,91.4173353975639,-6362518.45031154
0.14,435.509460449219,435.509460449219,102.242873117328,0.00092519890589894,0.000109446704846463,16.2625269935329,6.79612388574073,1.67295511779359E-11,9.380395442804E-05,91.417642256245,-6362518.44961566
0.34,435.509674072266,435.509674072266,102.291061731055,0.739450694250735,0.0360320989171349,16.4025060439266,2.83914234502567,1.60608948289446E-07,0.0754117888835708,91.5424248306081,-6362518.37898661
0.54,435.511413574219,435.511413574219,102.584087232128,2.06242532589651,0.0587948442471807,16.4278708306437,1.92436196173176,1.01549606934925E-05,0.210498008964237,92.0269259121269,-6362518.31828632
0.74,435.514862060547,435.514862060547,103.14197495766,3.38988530408728,0.0368894466169383,16.4533785473252,1.2184721200882,4.03282141940735E-05,0.346103264339831,92.9570835959166,-6362518.35681507
0.94,435.52001953125,435.52001953125,103.965822286904,4.72251644360353,0.0147577260454481,16.4790298573816,0.675921743784199,9.07344947858508E-05,0.482189680019474,94.3357542362064,-6362518.48556176
1.14,435.526947021484,435.526947021484,105.05670464877,6.05911856240185,0.0815731511463842,16.5048170044286,0.264873566995554,0.000161594040605148,0.618609849404152,96.1648067384958,-6362518.68766267
1.34,435.535583496094,435.535583496094,106.415003779344,7.39627019746474,0.152937655957125,16.5307107292416,0.0381529809632794,0.000252919269938004,0.755034646062427,98.4434126205742,-6362518.92838443
1.54,435.545928955078,435.545928955078,108.040823812597,8.73570189160609,0.22632731070399,16.5567257530397,0.27816208147741,0.000364660829846599,0.891659949882637,101.17341344431,-6362519.19657921
1.74,435.558074951172,435.558074951172,109.935133133084,10.0827858004046,0.298918729804802,16.5829093647981,0.466797869762744,0.000497249287156253,1.02905172154033,104.362310366705,-6362519.47477817
1.94,435.571899414063,435.571899414063,112.099874175154,11.4417071980481,0.36994149488278,16.6092879883851,0.612564018801571,0.00065149890073945,1.16764734842639,108.020218916237,-6362519.74386821
